project_id,company,financial_year,verification_status,financial_evidence_type,revenue_crore,ebitda_crore,pat_crore,total_debt_crore,total_equity_crore,reported_overall_gearing,reported_interest_coverage,fundamental_fields_available,fundamental_data_coverage,fundamental_score_eligible
SEM-0001,Micron Technology Inc.,FY2025,VERIFIED_PARENT,PARENT_LEVEL,,,,,,,,0,0.0,NO
SEM-0002,Tata Electronics Private Limited,,NOT_VERIFIED,,,,,,,,,0,0.0,NO
SEM-0003,Tata Electronics Private Limited,,NOT_VERIFIED,,,,,,,,,0,0.0,NO
SEM-0004,CG Power and Industrial Solutions Limited,FY2024-25,VERIFIED_PARTIAL,COMPANY_LEVEL,9329.0,1435.0,974.0,,,,,4,0.4444444444444444,YES
SEM-0005,Kaynes Technology India Limited,FY2024-25,VERIFIED_PARTIAL,COMPANY_LEVEL,2721.752,410.7,293.433,,,,,3,0.3333333333333333,YES
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,,NOT_VERIFIED,,,,,,,,,0,0.0,NO
SEM-0007,3D Glass Solutions Inc.,,NOT_VERIFIED,,,,,,,,,0,0.0,NO
SEM-0008,SiCSem Private Limited,FY2024-25,VERIFIED_EXACT_SUBSIDIARY_PARTIAL,COMPANY_OR_ENTITY_LEVEL,0.0,,-0.0128,,0.0144,,,3,0.3333333333333333,YES
SEM-0009,Continental Device India Private Limited,FY2023-24,VERIFIED_CRA_FINANCIALS,COMPANY_OR_ENTITY_LEVEL,264.65,9.35,1.44,68.47,,0.53,1.61,4,0.4444444444444444,YES
SEM-0010,Advanced System in Package Technologies Private Limited,,NOT_VERIFIED,,,,,,,,,0,0.0,NO
SEM-0011,Crystal Matrix Limited,,NOT_VERIFIED,,,,,,,,,0,0.0,NO
SEM-0012,Suchi Semicon Private Limited,,NOT_VERIFIED,,,,,,,,,0,0.0,NO
