field,description,decision_use
project_id,,DECISION_SUPPORT_ONLY
company,,DECISION_SUPPORT_ONLY
project_type,,DECISION_SUPPORT_ONLY
state,,DECISION_SUPPORT_ONLY
approval_year,,DECISION_SUPPORT_ONLY
investment_crore,,DECISION_SUPPORT_ONLY
validated_cluster,,DECISION_SUPPORT_ONLY
project_stress_vulnerability_score,Constructed/modelled stress indicator; not observed default loss.,DECISION_SUPPORT_ONLY
project_stress_vulnerability_class,Constructed/modelled stress indicator; not observed default loss.,DECISION_SUPPORT_ONLY
p95_score,,DECISION_SUPPORT_ONLY
p99_score,,DECISION_SUPPORT_ONLY
borrower_financial_risk_score,,DECISION_SUPPORT_ONLY
borrower_financial_risk_class,,DECISION_SUPPORT_ONLY
borrower_financial_strength_score,,DECISION_SUPPORT_ONLY
borrower_financial_strength_class,,DECISION_SUPPORT_ONLY
execution_risk_score,,DECISION_SUPPORT_ONLY
execution_risk_class,,DECISION_SUPPORT_ONLY
execution_monitoring_signal,,DECISION_SUPPORT_ONLY
integrated_ews_risk_score,,DECISION_SUPPORT_ONLY
final_ews_status,RED/AMBER/GREEN monitoring signal. May be snapshot-only.,DECISION_SUPPORT_ONLY
monitoring_maturity,Indicates whether genuine repeated monitoring observations exist.,DECISION_SUPPORT_ONLY
security_risk_component,,DECISION_SUPPORT_ONLY
security_analysis_status,,DECISION_SUPPORT_ONLY
project_security_coverage_ratio,,DECISION_SUPPORT_ONLY
project_recovery_coverage_ratio,,DECISION_SUPPORT_ONLY
portfolio_concentration_signal_score,,DECISION_SUPPORT_ONLY
portfolio_concentration_class,,DECISION_SUPPORT_ONLY
integrated_banking_risk_score,Research composite risk score; higher indicates stronger analytical risk signal. Not PD.,DECISION_SUPPORT_ONLY
integrated_banking_risk_class,Research integrated risk category.,DECISION_SUPPORT_ONLY
integrated_evidence_quality_score,Coverage/quality indicator for evidence supporting analysis.,DECISION_SUPPORT_ONLY
integrated_evidence_quality_class,,DECISION_SUPPORT_ONLY
integrated_risk_component_coverage_pct,,DECISION_SUPPORT_ONLY
critical_review_flags,,DECISION_SUPPORT_ONLY
committee_monitoring_tier,,DECISION_SUPPORT_ONLY
credit_committee_posture,Human-review workflow posture; not an approval/rejection.,DECISION_SUPPORT_ONLY
integrated_credit_committee_explanation,,DECISION_SUPPORT_ONLY
