project_id,company,project_type,project_group,state,approval_date,approval_year,investment_crore,investment_category,capacity_value,capacity_unit,capacity_category,technology,technology_partner,source_document,source_page,source,data_quality_flag,project_type_standardized,state_verified,year,rbi_electronics_credit_crore,rbi_electronics_credit_growth_pct,rbi_electronics_credit_growth_volatility,total_gross_npa_closing_crore,total_net_npa_closing_crore,total_gross_npa_addition_crore,total_gross_npa_reduction_crore,total_gross_npa_writeoff_crore,gross_npa_growth_pct,net_to_gross_npa_ratio,npa_addition_pressure,electronics_credit_available,electronics_credit_stress,banking_npa_stress_flag,banking_stress_score,investment_to_electronics_credit_pct,investment_to_electronics_credit_ratio,investment_credit_growth_interaction,investment_credit_volatility_interaction,investment_npa_growth_interaction,investment_npa_ratio_interaction,investment_npa_pressure_interaction,project_size_relative_to_max,log_investment_crore,electronics_credit_contraction,gross_npa_increase_flag
SEM-0001,Micron Technology Inc.,ATMP,Packaging_Testing,Gujarat,2023-06-01,2023,22516,Mega,14.0,million units/week,Other,DRAM and NAND assembly and test,,MeitY_Annual_Report_2025_26.pdf,92,Ministry of Electronics & Information Technology (MeitY),OK,ATMP,True,2023,40836.84364,11.13477360152293,3.969131659234745,36763.7,8384.32,11150.39,10099.27,18346.82,-31.99388080518838,0.228059743714588,0.3032989062580752,1,0.0,0.0,0.0,55.13648458850382,0.5513648458850382,250710.5624118903,89368.96843932952,-720374.2202096216,5134.993189477664,6829.078173306822,0.24600659921770862,10.02202585845966,0,0
SEM-0002,Tata Electronics Private Limited,Semiconductor Fab,Fabrication,Gujarat,2024-02-01,2024,91526,Mega,50000.0,WSPM,Wafer Capacity,Semiconductor fabrication,"PSMC, Taiwan",MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,FAB,True,2024,43395.91409,6.266572589594976,3.8441118377064902,31833.63,7213.34,10396.53,4729.29,10597.31,-13.41015730190377,0.2265949563401974,0.3265895218358698,1,0.0,0.0,0.0,210.90925705627876,2.1090925705627876,573554.3228352698,351836.18005792424,-1227378.0572140445,20739.32997399291,29891.43257554982,1.0,11.424389289702704,0,0
SEM-0003,Tata Electronics Private Limited,OSAT,Packaging_Testing,Assam,2024-02-01,2024,27120,Mega,48.0,million units/day,Unit Capacity,Semiconductor packaging,,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,OSAT,True,2024,43395.91409,6.266572589594976,3.8441118377064902,31833.63,7213.34,10396.53,4729.29,10597.31,-13.41015730190377,0.2265949563401974,0.3265895218358698,1,0.0,0.0,0.0,62.49436281893976,0.6249436281893976,169949.44862981577,104252.31303860001,-363683.4660276302,6145.255215946154,8857.107832188789,0.29630924546030635,10.208063614530875,0,0
SEM-0004,CG Power and Industrial Solutions Limited,OSAT,Packaging_Testing,Gujarat,2024-02-01,2024,7584,Large,15.07,million units/day,Unit Capacity,Semiconductor assembly and testing,Renesas Electronics / STARS Microelectronic,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,OSAT,True,2024,43395.91409,6.266572589594976,3.8441118377064902,31833.63,7213.34,10396.53,4729.29,10597.31,-13.41015730190377,0.2265949563401974,0.3265895218358698,1,0.0,0.0,0.0,17.476299690960147,0.17476299690960145,47525.6865194883,29153.744177166023,-101702.63297763819,1718.4961488840572,2476.8549336032365,0.08286170050040426,8.933927891782632,0,0
SEM-0005,Kaynes Technology India Limited,OSAT,Packaging_Testing,Gujarat,2024-09-01,2024,3307,Medium,6.33,million chips/day,Chip Capacity,Wire bond interconnect / substrate based packages,ISO Technology / AOI Electronics,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,OSAT,True,2024,43395.91409,6.266572589594976,3.8441118377064902,31833.63,7213.34,10396.53,4729.29,10597.31,-13.41015730190377,0.2265949563401974,0.3265895218358698,1,0.0,0.0,0.0,7.6205331062770565,0.07620533106277057,20723.555553790586,12712.477847295364,-44347.39019739577,749.3495206170328,1080.0315487112214,0.03613180954045845,8.104099056143582,0,0
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,OSAT,Packaging_Testing,Uttar Pradesh,2025-05-01,2025,3706,Medium,36.0,million chips/month,Monthly Chip Capacity,"Display Driver ICs (DDIC), Gold Bump, chip probing and die processing",Hon Hai / Foxconn,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,OSAT,True,2025,52863.09654,21.81583830764746,7.953659416892725,27834.88,6994.22,9310.13,4320.06,8988.82,-12.561401260239569,0.2512753782304792,0.3344771021107329,1,0.0,0.0,0.0,7.010561701007763,0.07010561701007763,80849.49676814149,29476.26179900444,-46552.553070447844,931.2265517221558,1239.5721404223762,0.040491226536721804,8.217978203150732,0,0
SEM-0007,3D Glass Solutions Inc.,Advanced Packaging,Advanced_Packaging,Odisha,2025-08-01,2025,1943,Medium,4.2,million units/month,Monthly Unit Capacity,Advanced packaging / glass substrate / 3D heterogeneous integration,,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,Advanced Packaging,True,2025,52863.09654,21.81583830764746,7.953659416892725,27834.88,6994.22,9310.13,4320.06,8988.82,-12.561401260239569,0.2512753782304792,0.3344771021107329,1,0.0,0.0,0.0,3.675531944160303,0.036755319441603033,42388.17383175901,15453.960247022564,-24406.80264864548,488.22805990182104,649.889009401154,0.021228940410375194,7.572502985020384,0,0
SEM-0008,SiCSem Private Limited,Compound Semiconductor Fab + ATMP,Fabrication,Odisha,2025-08-01,2025,2066,Medium,5000.0,wafers/month,Wafer Capacity,Silicon Carbide (SiC),Clas-SiC Wafer Fab / Continental Device India,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,FAB,True,2025,52863.09654,21.81583830764746,7.953659416892725,27834.88,6994.22,9310.13,4320.06,8988.82,-12.561401260239569,0.2512753782304792,0.3344771021107329,1,0.0,0.0,0.0,3.90820843882408,0.0390820843882408,45071.521943599655,16432.26035530037,-25951.85500365495,519.13493142417,691.0296929607741,0.022572820837794726,7.633853559681768,0,0
SEM-0009,Continental Device India Private Limited,Semiconductor Manufacturing,Manufacturing,Punjab,2025-08-01,2025,117,Small,158.38,million units/year,Annual Unit Capacity,Silicon and Silicon Carbide discrete semiconductor devices,,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,Semiconductor Manufacturing,True,2025,52863.09654,21.81583830764746,7.953659416892725,27834.88,6994.22,9310.13,4320.06,8988.82,-12.561401260239569,0.2512753782304792,0.3344771021107329,1,0.0,0.0,0.0,0.22132642175334816,0.0022132642175334816,2552.453081994753,930.5781517764487,-1469.6839474480296,29.399219252966066,39.13382094695575,0.0012783252846185783,4.770684624465665,0,0
SEM-0010,Advanced System in Package Technologies Private Limited,OSAT,Packaging_Testing,Andhra Pradesh,2025-08-01,2025,480,Small,96.0,million units/year,Annual Unit Capacity,Semiconductor packaging and testing,"APACT Co. Ltd., South Korea",MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology,OK,OSAT,True,2025,52863.09654,21.81583830764746,7.953659416892725,27834.88,6994.22,9310.13,4320.06,8988.82,-12.561401260239569,0.2512753782304792,0.3344771021107329,1,0.0,0.0,0.0,0.9080058328342488,0.009080058328342489,10471.60238767078,3817.756520108508,-6029.472604914993,120.61218155063001,160.5490090131518,0.005244411424076219,6.175867270105761,0,0
