document,page,matched_terms,text
MeitY_Annual_Report_2025_26.pdf,54,"fabrication, testing","Digital India
REPORT
Ministry of Electronics & Information Technology, Government of India
Annual
2025-2026
52
As part of the initial rollout, five exemplar Government of India websites were made live at the time of the DBIM launch to 
demonstrate practical implementation of the framework and serve as reference models for Ministries and Departments. 
Subsequently, as of date, six Ministry/Department websites have been successfully migrated and are live.
The harmonisation initiative is presently being accelerated with emphasis on DBIM 3.0 compliance, thereby progressively 
realising the vision of a unified, accessible, citizen-first, and globally recognisable digital footprint for the Government 
of India.
2.4.13	 Digital Economy
2.4.13.1 Background: India’s Digital Economy
India’s digital economy has been expanding at an exceptional pace over the past decade, driven by rapid technological 
adoption, progressive public digital infrastructure, the evolving dynamic innovation ecosystem etc. This transformation 
has positioned India among one of the world’s leading digitalizing economies. 
According to the latest estimates, the digital economy contributed 11.74% of national income in 2022–23, valued at INR 
31.64 lakh crore (~USD 402 billion). Digital-enabling industries—ICT services, telecommunications, and electronics 
manufacturing—form the largest component with 7.83% of GVA, while new digital industries such as platforms and 
digital intermediaries contribute nearly 2%. Traditional sectors including BFSI, trade, and education add an additional 
2% through their growing digital components, underscoring the deepening digitalisation of India’s economic landscape. 
Employment in the digital economy stood at 14.67 million workers (2.55% of the workforce) in 2022–23, with productivity 
nearly five times higher than the rest of the economy. Projections indicate that the digital economy will grow almost 
twice as fast as overall GDP and is expected to reach around 20% of national income by 2030. 
India’s digital transformation is accelerated by strong progress in Artificial Intelligence (AI) ecosystem, with vast 
applications across governance, agriculture, healthcare, mobility, and finance. The semiconductor and electronics 
ecosystem continue to strengthen through new investments in fabrication, assembly and testing, semiconductor design, 
and production-linked incentive schemes. These developments support domestic manufacturing and meet growing 
demand from strategic sectors such as telecom, EVs, cloud, and IoT systems. Global Capability Centres (GCCs) have 
also emerged as a key pillar of India’s digital and innovation landscape, with global enterprises increasingly relying on 
India for high-end engineering, product development, AI/ML research, cybersecurity, semiconductor design, and digital 
operations. 	
Further, India’s globally recognised Digital Public Infrastructure (DPI)—including Aadhaar, UPI, DigiLocker, FASTag, 
Account Aggregator, DIKSHA, and ABDM—remains central to inclusive growth. DPI enables secure identity, seamless 
digital payments, paperless service delivery, and interoperable data exchange, while fostering a strong foundation for 
private-sector innovation, GCC expansion, and digital entrepreneurship. Together, these developments highlight India’s 
evolution into a digitally integrated and innovation-driven economy, where technologies such as AI, semiconductors, 
and DPI—supported by a strong GCC ecosystem—drive productivity, competitiveness, and inclusive growth.
2.4.13.2 Banking and Fintech Ecosystem: An Overview
India’s banking sector stands as a pillar of the nation’s economic progress, playing a vital role in mobilising capital, 
expanding credit access, and driving financial inclusion. While it continues to navigate challenges such as regulatory 
shifts, rising operational costs, and growing competition from fintech players, the sector is simultaneously embracing 
opportunities brought by digital innovation, structural reforms, and evolving customer needs.
India’s fintech sector is rapidly evolving, driven by technological advancements, regulatory support, and a robust digital 
ecosystem. India’s fintech ecosystem encompasses a diverse range of segments that collectively transform the financial 
"
MeitY_Annual_Report_2025_26.pdf,85,ATMP,"Make in India
REPORT
Ministry of Electronics & Information Technology, Government of India
Annual
2025-2026
83
Industrial electronics is an empirical barometer of overall growth in the contribution of the manufacturing sector 
in the economy. The spurt in investments due to the “Make in India” programme is bringing significant interest in 
engineering, electrical, automotive and electronics segments which are the driving force behind the growth of industrial 
electronics  sector. In future, M2M (machine-to-machine and machine-to-man) communication modules driven by 
Industry 4.0 activities will determine the growth of the Industrial electronic segment.
3.2.6	 Automotive Electronics 
Automotive electronics are electrically operated systems integrated and mounted in several vehicle applications such 
as body electronics, safety systems, and infotainment. The automotive market demand is experiencing trends related 
to advanced mobility solutions, powertrain & vehicle system electrification, and advanced safety systems. Due to the 
increased implementation of these systems in vehicles, the penetration of automotive electronics has also increased, 
further creating the demand for automotive electronics products across the globe. The digitization of automotive systems 
by including connected technologies, in-vehicle communication, and ADAS & automated systems have created several 
opportunities for market growth. The growing integration & adoption of automotive electronics in modern vehicles to 
deliver enhanced safety & comfort to consumers is one of the major factors driving the automotive electronics industry 
growth. Several features offered by OEMs including Automated Emergency Braking (AEB) system, airbag system, 
and lane departure warning, etc. have significantly decreased road accidents worldwide. Automotive electronics along 
with the presence of broad computing technologies and connected features are enhancing automobile capabilities. 
Alcohol ignition interlock, accident data recorder system, and emergency call system are some of the features gaining 
attraction, which will further propel the growth. According to Allied Market Research, the global Auto electronics market 
is estimated to reach USD 382.16 billion by 2026, growing at a CAGR of 7.3 percent from 2019 to 2026.
Automotive Mission Plan 2016-26 targets India to be among the top three in the world for engineering, manufacturing and 
export of vehicles and auto components. The growing presence of global automobile Original Equipment Manufacturers 
(OEMs) in the Indian manufacturing landscape has significantly increased the localization of their components in the 
country. India has become the preferred designing and manufacturing base for most global auto OEMs for local sourcing 
and exports. 
3.2.7	 Electronic Components 
The global market for electronic components is expected to grow. Following this global trend, the Indian electronic 
components market is also poised to grow significantly. Mobile Phones, Consumer Electronics and Industrial Electronics 
account for the major demand (82%) for electronic components in India. 
GoI launched the Scheme for Promotion of Manufacturing of Electronic Components and Semiconductors (SPECS) 
(notified vide Gazette Notification No.CG-DL-E-01042020-218992 dated April 01, 2020). This scheme provides financial 
incentive of 25% on capital expenditure for the identified list of electronic goods that comprise downstream value chain 
of electronic products, i.e., electronic components, ATMP units, specialized sub-assemblies and capital goods for 
manufacture of aforesaid goods, e-waste recycling facility and R&D units for the manufacturing of semiconductors. 
Apart from SPECS, the other initiatives of the Government that boost the production of electronic components include 
rationalization of tariff structure, Phased Manufacturing Programme (PMP), and notification of electronics products 
under the Public Procurement (Preference to Make in India), Order 2017. Under the umbrella of “Make in India” program, 
BCD has been imposed on Printed Circuit Board (PCB) Assembly of Mobile handsets with the intention to strengthen 
the domestic EMS and components segment in India. Production Linked Incentive Scheme (PLI) for Large Scale 
Electronics Manufacturing is also supporting manufacturing of specified electronic components. The Indian government 
has imposed an anti-dumping duty (ADD) on bare printed circuit boards (PCBs) with fewer than six layers.
"
MeitY_Annual_Report_2025_26.pdf,87,"packaging, testing","Make in India
REPORT
Ministry of Electronics & Information Technology, Government of India
Annual
2025-2026
85
3.3.2	 Modified Special Incentive Package Scheme (M-SIPS)
In order to promote large scale manufacturing in the country, a Modified Special Incentive Package Scheme (M-SIPS) 
was announced by the Government in July 2012. The Scheme has been amended twice – in August 2015 and in 
January 2017. The Scheme has been closed on 31st December 2018 to receive new applications. The salient features 
of the Scheme are: 
• 
Provides Capital Subsidy - 20% for investments in Special Economic Zones (SEZs) and 25% in non-SEZs.
• 
Provides incentives for both new units and expansion units.
• 
Provides incentives for a period of 5 years from the date of approval of application.
• 
Provides incentives for 44 categories/verticals across the value chain (raw materials including assembly, testing, 
packaging and accessories, chips, components).
• 
Minimum investment threshold for each product category/vertical Unit to be in Industrial Area notified by Central/
State Govt.
Status of M-SIPS till December, 2025 is as follows:
As on 31 December 2025, 304 applications with proposed investment of Rs 64,872 Crore are approved. 
The incentives to the tune of Rs 2817.20 Crore have been disbursed to the 153 applicants.
Out of 304 approved applicants, 288 applicants have started incurring investment on their projects and have made 
investment of Rs 54,117 Crore. Out of 304 approved applicants, 272 applicants have commenced commercial production 
with reported turnover of Rs 16,98,109 Crore, which includes exports to the tune of Rs 4,41,784 Crore. These units 
have given employment opportunities (Direct & Indirect) to over 4,79,548 persons and given revenue of approximately 
Rs 2,19,654 Crore to the Government.
3.3.3	 Electronic Cluster Manufacturing (EMC) Schemes
To create conducive and sustainable ecosystem for electronics manufacturing in the country, Government notified 
the Electronics Manufacturing Cluster (EMC) Scheme in October, 2012 for providing support to create world-class 
"
MeitY_Annual_Report_2025_26.pdf,91,"ATMP, fabrication, semiconductor fab","Make in India
REPORT
Ministry of Electronics & Information Technology, Government of India
Annual
2025-2026
89
3.3.7	 PLI Scheme 2.0 for IT Hardware
PLI Scheme 2.0 for IT Hardware was notified on 29.05.2023 with an approved outlay of Rs.17,000 crore to boost domestic 
manufacturing and attract large investments in the value chain. The Scheme extends an incentive of around 5% (based 
on localization of components/sub-assemblies) on net incremental sales (over base year) of goods manufactured in 
India and covered under the target segment, to eligible companies, for a period of six (6) years. The Target Segment 
includes (i) Laptops (ii) Tablets (iii) All-in-One PCs and (iv) Servers (v) USFF (Ultra Small Form Factor). A total of 27 
companies have been approved under the Scheme.
The Scheme is expected to generate following outcomes during its tenure:
i)	
Expected incremental production is Rs. 3.35 Lakh crore
ii)	
Expected incremental investment is Rs. 2,430 crores
iii)	
Expected incremental direct employment is 75,000
The status of PLI Scheme 2.0 for IT Hardware till December, 2025 is as follows:
As on 31.12.2025, PLI Schemes for IT Hardware have led to a total cumulative production of Rs. 16,531.64 crore, total 
cumulative investment of Rs. 856.64 crore and total cumulative employment of 4,776 (direct jobs).
3.3.8	 Scheme for Promotion of Manufacturing of Electronic Components and Semiconductors (SPECS) 
Notified vide Gazette Notification dated April 01, 2020, the Scheme provides financial incentive of 25% on capital 
expenditure for the identified list of electronic goods that comprise downstream value chain of electronic products, 
i.e., electronic components, semiconductor/ display fabrication units, ATMP units, specialized sub-assemblies and 
capital goods for manufacture of aforesaid goods, e-waste recycling facility and R&D units for the manufacturing of 
semiconductors The scheme promotes development of electronic components manufacturing ecosystem in the country 
and deepening of electronics value chain and is expected to bring new investments to the tune of ` 20,000 crore 
with total employment generation potential of 6,00,000 (Direct and Indirect). The scheme is closed to receive new 
applications on 31.03.2024.
Progress under the scheme till December, 2025 as per latest Quarterly Progress Report
58 applications have been approved with total proposed investment of Rs. 22,081 crore. As per the Quarterly Progress 
report submitted by the applicant total investment done by the approved applications is Rs. 20,488 crore. Total production 
done by the approved applications is Rs. 49,352 crore. Total employment generated by the approved applications is 
56,314 persons.
3.3.9	 Programme for Development of Semiconductors and Display Manufacturing Ecosystem in India
Government of India approved the comprehensive program for the development of a sustainable semiconductor and 
display ecosystem in the country with an outlay of ` 76,000 crore (>10 billion USD) in order to foster the objective of the 
development of a diversified, resilient, and sustainable semiconductor and display manufacturing ecosystem in India, 
which provides
i.	
Fiscal support of 50% of the project cost on pari-passu basis for setting up of Silicon Complementary Metal-Oxide-
Semiconductor (CMOS) based Semiconductor Fabs in India.
ii.	
Fiscal support of 50% of Project Cost on pari-passu basis for setting up of Display Fabs in India.
iii.	
Fiscal support of 50% of the Capital Expenditure on pari-passu basis for setting up of Compound Semiconductors 
/ Silicon Photonics (SiPh) / Sensors (including Micro-Electro-Mechanical Systems) Fab/ Discrete Semiconductor 
"
MeitY_Annual_Report_2025_26.pdf,92,"ATMP, Micron, OSAT, fabrication, packaging, testing, wafer","Make in India
REPORT
Ministry of Electronics & Information Technology, Government of India
Annual
2025-2026
90
Fab and Semiconductor Assembly, Testing, Marking and Packaging (ATMP) / Outsourced Semiconductor 
Assembly and Test (OSAT) facilities in India. 
iv.	
Product Design Linked Incentive (DLI) of up to 50% of the eligible expenditure subject to a ceiling of `15 Crore 
per application and also “Deployment Linked Incentive” of 6% to 4% of net sales turnover over 5 years subject to 
a ceiling of `30 Crore per application for incentivizing chip design
Government has also approved the modernization of Semi-Conductor Laboratory, Mohali under the Programme.
3.3.9.1	 India Semiconductor Mission (ISM):
India Semiconductor Mission (ISM) as an Independent Business Division under the Digital India Corporation, has been 
nurturing India’s strategies for developing Semiconductors and display ecosystem focussed on the objectives namely-
• 
Promoting development of indigenous products/ technologies via suitable mechanisms/ infrastructure facilities  
• 
Enabling cutting-edge research and development and curating pool of skilled manpower.
• 
Encouraging technology transfer by networking/ partnerships with national and international entities.
• 
Assisting in obtaining monetary support through requisite fund mechanisms/ grants schemes, etc. 
• 
Facilitating adoption of secure microelectronics and developing a trusted semiconductor supply chain.
3.3.9.2 Modernization of Semi-Conductor Laboratory (SCL), Mohali
The Union Cabinet has also approved that Ministry of Electronics and Information Technology will take requisite steps 
for modernization and commercialization of Semi-conductor Laboratory (SCL), Mohali. Semi-conductor Laboratory 
(SCL), Mohali has been brought under the administrative control of Ministry of Electronics and Information Technology 
from Department of Space 
SCL is an Integrated Device Manufacturer which undertakes activities pertaining to design, development, fabrication, 
assembly & packaging, testing and quality assurance of Silicon CMOS and MEMS Devices for various applications. 
Presently, SCL has two wafer fabrication lines, i.e., 200 mm wafer line operating in 180nm CMOS technology and 150 
mm wafer line for MEMS technology. SCL predominantly caters to low volume requirements for various applications.
Boston Consulting Group (BCG) has been engaged to provide consultancy services for the Modernization of Semi-
Conductor Laboratory, Mohali. 
The primary focus of the modernization of SCL is the 8-inch 180nm CMOS fab-line with the following outlined objectives:
(i)	
Augment the capacity of the line to at least 1500 WSPM, build redundancy and improve operational performance
(ii)	
Enhance technological capability to support broader needs of government, academia and industry
(iii)	 Ensure operational continuity and improved customer commitment.
As part of its modernization, SCL published RFP and invited proposals to upgrade its chip manufacturing facilities. 
Through this RFP, SCL intends to engage experienced Contractor(s) for augmentation and enhancement of the existing 
8-inch fab-line. The technical evaluation and financial evaluations of the bids received have been completed, and the 
results have been published on the SCL website.
3.3.9.3 Approvals issued under the programme:
• 
Micron Technology Inc.’s proposal for setting up an ATMP facility in Gujarat with an investment of ` 22,516 crore 
was approved in June 2023. Micron’s facility in India will enable assembly and test manufacturing for both DRAM 
and NAND products and address demand from domestic and international markets. The production capacity is 
around 14 million units per week. 
"
MeitY_Annual_Report_2025_26.pdf,93,"ATMP, CG Power, Foxconn, Kaynes, OSAT, Renesas, SiCSem, Tata Electronics, packaging, semiconductor fab, wafer","Make in India
REPORT
Ministry of Electronics & Information Technology, Government of India
Annual
2025-2026
91
• 
Tata Electronics Private Limited (TEPL)’s proposal for setting up a Semiconductor Fab facility in Gujarat with an 
investment of ` 91,526 crore was approved in February 2024. The fab facility will be set up in technology partner­
ship with PSMC, Taiwan. PSMC is an established semiconductor company having 6 semiconductor foundries in 
Taiwan. The production capacity of the project would be around 50,000 wafer starts per month (WSPM). 
• 
Tata Electronics Private Limited (TEPL)’s proposal for setting up of OSAT facility in Assam with an investment 
of ` 27,120 crores was approved in February 2024. The facility will use indigenous semiconductor packaging 
technologies with a production capacity of 48 million per day. 
• 
CG Power and Industrial Solutions Limited’s proposal for setting up OSAT facility in Gujarat with an investment 
of ` 7,584 crore was also approved in February 2024. The facility will be set up as joint venture partnership 
with Renesas Electronics America Inc., USA, and STARS Microelectronic, Thailand. The Technology would be 
provided for this facility by Renesas Electronics Corporation, Japan and STARS Microelectronic, Thailand. The 
production capacity would be around 15.07Million Units per day. 
• 
Kaynes Technology India Limited (KTIL) proposal for setting up of Outsourced Semiconductor Assembly 
and Test (OSAT) facility in Gujarat for Wire bond Interconnect, Substrate Based Packages was approved in 
September,2024. The Technology would be provided by ISO Technology Sdn. Bhd. and AOI Electronics Co. Ltd. 
(AOI). This facility will be setup with an investment of ` 3,307 crore. The facility will have the capacity to produce 
more than 6.33 million chips per day.
• 
Vama Sundari Investments (Delhi) Private Limited (VSIPL) proposal for setting up of Outsourced Semiconductor 
Assembly and Test (OSAT) facility in Uttar Pradesh for display driver ICs (DDIC) using Gold (Au) Bump technology 
along with chip probing facilities and die processing services was approved in May,2025. The Technology would 
be provided by Hon Hai, Taiwan. The facility will be set up as joint venture partnership between VSIPL and 
Foxconn, India with an investment of Rs 3,706 crore. The production capacity would be around 20K wafers per 
month/36 Mn chips per month.
• 
3D Glass Solutions Inc. (3DGS) proposal for setting up of a vertically integrated advanced packaging and 
embedded glass substrate manufacturing on the glass panels in Odisha with an investment of ` 1,943 crores has 
been approved in August,2025. The plant will handle the assembly of packaged products such as Flip Chip Ball 
Grid Array (FCBGA) assembly, Radio Frequency System in Package (RF SiP), Antenna in Package System in 
Package (AiP SiP), glass interposers with passives and silicon bridges and 3D Heterogenous Integration (3DHI) 
modules. Proposed Installed capacity for glass panel substrate production, assembly and 3DHI is around 5800 
panels per month, 4.20 million units per month, and 1100 units per months respectively.
• 
SiCSem Private Limited’s proposal for setting up an integrated facility for Silicon Carbide (SiC) based Compound 
Semiconductors fab and ATMP in Odisha with an investment of ` 2,066 crore has been approved in August 2025. 
The facility will be set up in technology partnership with Clas-SiC Wafer Fab Ltd. for SiC fab and Continental 
Device India Pvt. Ltd. for packaging. The production capacity is 5,000 wafers/month and packaging capacity of 8 
million units/month.
• 
Continental Device India Private Limited (CDIL) proposal for Brownfield expansion of its semiconductor 
manufacturing facility at Punjab, with an investment of ` 117 crores has been approved in August 2025. The 
proposed facility will manufacture high-power discrete semiconductor devices such as MOSFETs, IGBTs, 
Schottky Bypass Diodes, and transistors, both in Silicon and Silicon Carbide. The production capacity of the will 
be around 158.38 million units/annum. 
• 
Advanced System in Package Technologies Private Limited (ASIP) proposal for setting up an OSAT facility in 
Andhra Pradesh, with an investment of ` 480 crores in August 2025. The facility will be set up in technology 
partnership with APACT Co. Ltd, South Korea. The production capacity of the facility would be around 96 million 
units/annum. 
"
MeitY_Annual_Report_2025_26.pdf,95,"Tata Electronics, fabrication, packaging, testing","Make in India
REPORT
Ministry of Electronics & Information Technology, Government of India
Annual
2025-2026
93
	
These courses will help in creating Semicon industry ready talent pipeline and will reduce the time gap to make 
students industry ready. 
• 
India is also collaborating with countries overseas for capacity building and Talent development in Semiconductor 
domain. ISM has signed an MoU with Purdue University, to enable collaboration for development of skilled 
workforce (through curation of specific courses/ academic programs), specialized R&D programs. 
• 
Lam Research, USA, Semiconductor Equipment Manufacture announced to train 60,000 workforce in the next 10 
years through its Semiverse Solutions virtual nano-fabrication platform and course customization in collaboration 
with IISc and Indian academic institutions, aiming to expedite India’s semiconductor education and workforce 
development goals. After a successful completion of pilot programme, an MoU has been signed between ISM, 
IISc Bangalore and LAM Research in April 2024, to scale up the training. Under the MoU, a project is being 
implemented to train up to 4800 students in two years.
• 
NIELIT has jointly finalized the course curriculum with Tata Electronics Pvt. Ltd. for skilling manpower in various 
verticals of Semiconductor Assembly, Testing, Marking and Packaging. NIELIT is planning to roll out these skilling 
programs in its following Centers: Tezpur / Guwahati, Imphal, Agartala, Aurangabad, and Calicut.
• 
The First India-Dutch Semicon School has been conducted over five days, from 9-13th December, 2024 in online 
mode. The program featured 2 or 3 lectures each day, along with a group assignment at the end of the program. 
170 students participated in the program from the following institutions: IIT Delhi, IIT Madras, IIT Guwahati, IIT 
Gandhinagar, Technical University Eindhoven, University of Twente, Technical University Delft.
• 
Proposal on “Upskilling program for Master Trainers in Japan” for training of 50 Indian master trainers in Japan 
was approved at the 158th meeting of the Screening Committee held on 29.08.2025. Under this program, 50 
master trainers will be upskilled in Japan through hands-on training (Technician and Engineer level) at shop 
loor in areas such as Facility management, Fab Operations, Maintenance Engineer, Semiconductor Packaging 
and Testing, Reliability and Failure Analysis. The implementation schedule for the training program of 50 master 
trainers is tentatively planned from May 2026 to March 2028.
3.3.9.6	 Outreach Activities: 
Semicon India Conference 2025:
‘SEMICON India 2025’ Conference has been organized from 2nd –4th September, 2025 with the Theme ‘Building the 
Next Semiconductor Powerhouse’. The event witnessed the super success with over 30,000 attendees, participation 
from 48 countries, and more than 350 companies showcasing innovations. Unique features included country pavilions, 
workforce development sessions, and student mentoring programs. 
 
"
MeitY_Annual_Report_2025_26.pdf,97,packaging,"Make in India
REPORT
Ministry of Electronics & Information Technology, Government of India
Annual
2025-2026
95
200 engineers to the workforce. The Phase II office of Microchip is underway to add more than 1200 engineers in 
Chennai.
MoU with Singapore: Government of India has recently signed an MoU with Singapore to establish an “India-Singapore 
Semiconductor Ecosystem Policy Dialogue”. The Policy Dialogue will be used as a platform to:
• 
Discuss semiconductor supply chain related issues;
• 
Exchange best practices to leverage opportunities for growth in the global semiconductor industry;
• 
Explore areas for mutually beneficial semiconductor R&D collaboration; 
• 
Encourage collaboration between Singapore-based and India-based companies towards mutually beneficial 
semiconductor related business opportunities and partnerships;
• 
Consider initiatives to enhance semiconductor supply chain resilience, based on areas of mutual strength such as 
fabs, packaging, design, equipment, specialty chemicals and gases, semiconductor grade materials; and
• 
Promote Industrial Parks and workforce development for mutual benefit
3.3.9.8 R&D Road map
• 
Applied Materials Inc. (AMAT) has announced a planned investment of $400 Mn to establish Collaborative 
Engineering Centre in Bangalore. During the initial 5 years. the center would support $2Bn+ of spending and 
create ~500 advanced engineering jobs. This initiative will facilitate R&D collaboration amongst R&D team of 
Applied Materials, Indian academic institutions and R&D team of vendors of Applied Materials. This will also help 
in development and sourcing of components/sub-assemblies required for the AMAT’s semiconductor equipment.
• 
Advanced Micro Devices: Advanced Micro Device (AMD) announced plan to invest approximately $400 Million 
over the next five years to expand Research, Development and Engineering Operations in India. The planned 
investment includes a new AMD campus in Bangalore, Karnataka that will serve as the company’s largest design 
center, as well as the addition of approximately 3,000 new engineering roles by the end of 2028. AMD committed 
to an investment of $73Mn for Year 2024 and $32Mn for Year 2025 as a part of $400Mn investment. It has hired 
980 Engineers, including 22% women. 
• 
Microchip: Microchip Technology announced a $300 million investment plan to expand its operations in India. To 
strengthen its presence in India, the company has inaugurated a new research and development (R&D) facility 
at One Golden Mile Office Tower in Hyderabad. This 168,000-square-foot center, which has a capacity for 1,000 
employees, joins Microchip’s existing developments in Bengaluru and Chennai. Microchip has added more than 
200 engineers to the workforce. The Phase II office of Microchip is underway to add more than 1200 engineers in 
Chennai.
3.3.10	 Investment Promotion to Attract Investment in ESDM Sector
3.3.10.1 Promotion of ECMS, PLI, SPECS, EMC 2.0 and Schemes for Development of Semiconductors and 
Display Manufacturing Ecosystem in India
To boost investment in India’s Electronics System Design and Manufacturing (ESDM) sector, the Ministry undertook a 
series of targeted promotion initiatives, including the launch of a new initiate i.e. Electronics Component Manufacturing 
Scheme. Extensive outreach efforts - such as webinars, seminars, roadshows and stakeholder consultations - were 
conducted to highlight the benefits of these schemes. High-level engagements were also facilitated, enabling direct 
interactions between industry representatives and senior MeitY officials to address concerns and provide clarity on 
investment pathways. These efforts have positioned India as a promising destination for ESDM, significantly enhancing 
global awareness and industry interest.
"
MeitY_Annual_Report_2025_26.pdf,100,"Foxconn, Micron","Make in India
REPORT
Ministry of Electronics & Information Technology, Government of India
Annual
2025-2026
98
3.3.10.2.6 AI Infrastructure for Bharat
On 20th June 2025, Joint Secretary Shri Sushil Pal addressed the AI Infrastructure for Bharat event hosted by Netweb 
and NVIDIA. He outlined MeitY’s efforts to position India as a global hub for IT hardware manufacturing, noting that the 
success achieved in mobile manufacturing is now paving the way for a similar transformation in the IT hardware sector. 
With strengthening domestic capabilities and supportive policy interventions, India is set for rapid growth in innovation-
led manufacturing, contributing to both economic expansion and technological self-reliance.
3.3.10.2.7 Investment Promotion Roadshow for Electronics Component Manufacturing Scheme (ECMS), Taiwan
From 9–11 July 2025, a delegation from the Ministry of Electronics and Information Technology (MeitY), led by Shri 
Sushil Pal, Joint Secretary, visited Taiwan to promote investment in India’s electronics manufacturing sector. The visit 
included an Investment Promotion Roadshow, the India–Taiwan Electronics Supply Chain Roundtable (attended by 
over 60 Taiwanese companies), and focused one-to-one meetings with leading firms such as Advantech, Foxconn, 
Unimicron, Supermicro, Compal, MSI, and others. The delegation highlighted India’s growth in electronics manufacturing, 
the Electronics Component Manufacturing Scheme (ECMS), and Production Linked Incentive (PLI) schemes, while 
encouraging Taiwanese companies to expand their manufacturing footprint in India.
 
3.3.10.2.8 India–Japan Industrial Collaboration and Investment in Electronics Manufacturing, Japan
From 14–19 September 2025, a delegation led by  Secretary, Department for Promotion of Industry and Internal Trade 
(DPIIT), visited Japan to advance the India–Japan Industrial Competitiveness Partnership.
Joint Secretary, participated in the delegation with a focus on promoting investment in India’s electronics manufacturing 
sector and facilitating partnerships between Japanese companies and Indian industry. 
During the visit, the Joint Secretary held one-on-one meetings with leading Japanese firms, including Air Water, 
FANUC, NIDEC, Sharp, and TDK. The delegation showcased India’s growth in electronics manufacturing, highlighting 
the Electronics Component Manufacturing Scheme (ECMS) and Production Linked Incentive (PLI) schemes, while 
encouraging Japanese companies to expand their manufacturing footprint in India.
3.3.10.2.9 Measures to facilitate Ease of Doing Business
Central Board of Indirect Taxes & Customs (CBIC), Department of Revenue, Ministry of Finance has decided to exempt 
the Electronics and Semiconductor Manufacturing Sector from application of Section 65A of the Customs Act.
"
MeitY_Annual_Report_2025_26.pdf,103,"fabrication, packaging","Make in India
REPORT
Ministry of Electronics & Information Technology, Government of India
Annual
2025-2026
101
The technology has been transferred to M/s SPMCIL and got ordered of more than ` 300 crore from Delhi Excise 
Department etc. The other startup M/s Likhotronics Pvt. Ltd. has been incubated recently for the product Educational 
Kits using special inks. In addition, 5 technologies of the centre have been transferred to industries/start-ups for 
commercialization. Several companies have invested in the centre for R&D, prototype & product developments etc. 
The Centre is working closely with industries to meet their requirement in this thematic area and developed various 
prototypes like Temperature Sensors for Milk Adulteration & Gas Sensors for Food Spoilage, Smart Label with tamper 
evident tracking, OLED Display, Handheld Infrared Thermometer, Screen-printed sensor for Bilirubin detection in 
Serum, Warm Hug/Heater Jackets, TFT Array, Sensor for Breast Cancer detection, Smart IV Bottle, Piano keyboard 
on paper etc. 
Based on achieving of targeted objectives & milestones successfully and steer the centre activities ahead, the Ministry 
of Electronics & IT (MeitY) accorded approval to IIT-Kanpur on 24.11.2023 for initiation of Phase-II activity with a 
project cost of ` 83.08 crore including Government Grant-in-aid of ` 60.00 crore from MeitY, ` 10.00 crore as industry 
contribution and `13.08 crore from IIT-Kanpur. As on date, MeitY has released a Grant-in-aid of `10.79 crores to IIT-K 
towards the Phase-II of the project. Under the Phase-II, prima-facie, the prototypes /technological applications in the 
field of “Level & Packaging, Strategic and Healthcare sector (but not limited to)” has been considered to address the 
technological requirement of the industry/organization in these sectors. The canter facility is available for industry / start-
ups / academia / MSME /other organizations for active collaboration. Under Phase-II, 30 patents have been filed. The 
following 2 Technologies have been transferred to the industry. 
Product /Technology
Industry
Sector
Status
Bilirubin Sensor 
Sensa Core Medical 
Instrumentation Pvt. Ltd.
Healthcare
Technology Licensed to M/s 
Sensa Core
LFIA based strips for 
detection of bovine mastitis
Prompt Equipment Pvt. Ltd.
Milk Safety
Technology Licensed to M/s 
PROMPT Equipment’s
Further, 8 industrial projects have been initiated with relevant stakeholders including industries as well as Govt. 
organizations. Under the Phase-II, 7 prototypes have been developed including sustainable sensing platform for 
electrochemical sensors using sugarcane skin having varied applications from biosensing to heavy metal detection 
and Li ion-based technology (coin cell) having capacity of > 30 mAH and under field trial. A lab prototype of a pouch 
cell battery with 350 mAH capacity has also been developed and demonstrated to provide home-grown technological 
solution for LED lights and power pack applications.
3.3.12.2 Next Generation AMOLED Displays, OLED Lighting and OPV Products
The project “Next Generation AMOLED Displays, OLED Lighting and OPV products: Development of disruptive 
Technologies to enable cost effective electronic component manufacturing in India”, approved by MeitY being 
implemented by IIT Madras with total budget outlay of INR 41.60 Crore, including MeitY’s Grant-in-Aid amounting to 
INR 35.32 Crore. The objective of the centre is to demonstrate state- of-the-art AMOLED based displays developed by 
Fine Metal Mask (FMM) and Closed Space Sublimation (CSS) processes. OPV devices are also being developed for 
roll-to-roll manufacturing. A laboratory has been developed successfully for state-of-the-art research facility. A clean 
area has been set up of area around 3000 sq. ft. There are two parts in the clean area. One is of class 100 and the rest 
of the area is of class 1000. The class 100 area is used for substrate cleaning, which is very crucial for the fabrication. 
Class 1000 area has all the deposition units and is utilized for AMOLED device fabrication.
"
