project_id,company,project_type,project_group,state,approval_date,approval_year,investment_crore,investment_category,capacity_value,capacity_unit,capacity_category,technology,technology_partner,source_document,source_page,source,data_quality_flag,project_type_standardized,state_verified,rbi_electronics_credit_crore,rbi_electronics_credit_growth_pct,rbi_electronics_credit_growth_volatility,total_gross_npa_closing_crore,total_net_npa_closing_crore,total_gross_npa_addition_crore,total_gross_npa_reduction_crore,total_gross_npa_writeoff_crore,gross_npa_growth_pct,net_to_gross_npa_ratio,npa_addition_pressure,electronics_credit_available,banking_npa_data_available,investment_to_electronics_credit_ratio,investment_to_electronics_credit_pct,log_investment_crore,investment_credit_growth_interaction,investment_credit_volatility_interaction,investment_npa_growth_interaction,investment_npa_ratio_interaction,investment_npa_pressure_interaction
SEM-0001,Micron Technology Inc.,ATMP,Packaging_Testing,Gujarat,2023-06-01,2023,22516,Mega,14.0,million units/week,Other,DRAM and NAND assembly and test,,MeitY_Annual_Report_2025_26.pdf,92,Ministry of Electronics & Information Technology (MeitY),OK,ATMP,True,40836.84364,11.13477360152293,3.969131659234745,36763.7,8384.32,11150.39,10099.27,18346.82,-31.993881,0.22806,0.303299,1,1,0.5513648458850382,55.13648458850382,10.02202585845966,250710.5624118903,89368.96843932952,-720374.2245959999,5134.99896,6829.080284
SEM-0002,Tata Electronics Private Limited,Semiconductor Fab,Fabrication,Gujarat,2024-02-01,2024,91526,Mega,50000.0,WSPM,Wafer Capacity,Semiconductor fabrication,"PSMC, Taiwan",MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,FAB,True,43395.91409,6.266572589594976,3.8441118377064907,31833.63,7213.34,10396.53,4729.29,10597.31,-13.410157,0.226595,0.32659,1,1,2.1090925705627876,210.90925705627876,11.424389289702704,573554.3228352698,351836.18005792424,-1227378.029582,20739.33397,29891.476339999997
SEM-0003,Tata Electronics Private Limited,OSAT,Packaging_Testing,Assam,2024-02-01,2024,27120,Mega,48.0,million units/day,Unit Capacity,Semiconductor packaging,,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,OSAT,True,43395.91409,6.266572589594976,3.8441118377064907,31833.63,7213.34,10396.53,4729.29,10597.31,-13.410157,0.226595,0.32659,1,1,0.6249436281893976,62.49436281893976,10.208063614530875,169949.44862981577,104252.31303860003,-363683.45784,6145.256399999999,8857.1208
SEM-0004,CG Power and Industrial Solutions Limited,OSAT,Packaging_Testing,Gujarat,2024-02-01,2024,7584,Large,15.07,million units/day,Unit Capacity,Semiconductor assembly and testing,Renesas Electronics / STARS Microelectronic,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,OSAT,True,43395.91409,6.266572589594976,3.8441118377064907,31833.63,7213.34,10396.53,4729.29,10597.31,-13.410157,0.226595,0.32659,1,1,0.17476299690960145,17.476299690960147,8.933927891782632,47525.6865194883,29153.744177166027,-101702.630688,1718.49648,2476.85856
SEM-0005,Kaynes Technology India Limited,OSAT,Packaging_Testing,Gujarat,2024-09-01,2024,3307,Medium,6.33,million chips/day,Chip Capacity,Wire bond interconnect / substrate based packages,ISO Technology / AOI Electronics,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,OSAT,True,43395.91409,6.266572589594976,3.8441118377064907,31833.63,7213.34,10396.53,4729.29,10597.31,-13.410157,0.226595,0.32659,1,1,0.07620533106277057,7.6205331062770565,8.104099056143582,20723.555553790586,12712.477847295364,-44347.389199,749.349665,1080.03313
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,OSAT,Packaging_Testing,Uttar Pradesh,2025-05-01,2025,3706,Medium,36.0,million chips/month,Monthly Chip Capacity,"Display Driver ICs (DDIC), Gold Bump, chip probing and die processing",Hon Hai / Foxconn,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,OSAT,True,52863.09654,21.81583830764746,7.953659416892725,27834.88,6994.22,9310.13,4320.06,8988.82,-12.561401,0.251275,0.334477,1,1,0.07010561701007763,7.010561701007763,8.217978203150732,80849.49676814149,29476.26179900444,-46552.552106,931.2251500000001,1239.571762
SEM-0007,3D Glass Solutions Inc.,Advanced Packaging,Advanced_Packaging,Odisha,2025-08-01,2025,1943,Medium,4.2,million units/month,Monthly Unit Capacity,Advanced packaging / glass substrate / 3D heterogeneous integration,,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,Advanced Packaging,True,52863.09654,21.81583830764746,7.953659416892725,27834.88,6994.22,9310.13,4320.06,8988.82,-12.561401,0.251275,0.334477,1,1,0.036755319441603033,3.675531944160303,7.572502985020384,42388.17383175901,15453.960247022564,-24406.802143,488.22732500000006,649.888811
SEM-0008,SiCSem Private Limited,Compound Semiconductor Fab + ATMP,Fabrication,Odisha,2025-08-01,2025,2066,Medium,5000.0,wafers/month,Wafer Capacity,Silicon Carbide (SiC),Clas-SiC Wafer Fab / Continental Device India,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,FAB,True,52863.09654,21.81583830764746,7.953659416892725,27834.88,6994.22,9310.13,4320.06,8988.82,-12.561401,0.251275,0.334477,1,1,0.0390820843882408,3.90820843882408,7.633853559681768,45071.521943599655,16432.26035530037,-25951.854466,519.1341500000001,691.029482
SEM-0009,Continental Device India Private Limited,Semiconductor Manufacturing,Manufacturing,Punjab,2025-08-01,2025,117,Small,158.38,million units/year,Annual Unit Capacity,Silicon and Silicon Carbide discrete semiconductor devices,,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,Semiconductor Manufacturing,True,52863.09654,21.81583830764746,7.953659416892725,27834.88,6994.22,9310.13,4320.06,8988.82,-12.561401,0.251275,0.334477,1,1,0.0022132642175334816,0.22132642175334816,4.770684624465665,2552.453081994753,930.5781517764487,-1469.683917,29.399175000000003,39.133809
SEM-0010,Advanced System in Package Technologies Private Limited,OSAT,Packaging_Testing,Andhra Pradesh,2025-08-01,2025,480,Small,96.0,million units/year,Annual Unit Capacity,Semiconductor packaging and testing,"APACT Co. Ltd., South Korea",MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology,OK,OSAT,True,52863.09654,21.81583830764746,7.953659416892725,27834.88,6994.22,9310.13,4320.06,8988.82,-12.561401,0.251275,0.334477,1,1,0.009080058328342489,0.9080058328342488,6.175867270105761,10471.60238767078,3817.756520108508,-6029.47248,120.61200000000001,160.54896000000002
