project_id,company,banking_layer,missing_field,status,safe_treatment
SEM-0002,Tata Electronics Private Limited,PROJECT_FINANCE,dscr_verified,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0002,Tata Electronics Private Limited,BORROWER_FINANCIALS,borrower_financial_risk_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0002,Tata Electronics Private Limited,SECURITY_RECOVERY,security_risk_component,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0002,Tata Electronics Private Limited,MONTE_CARLO,p95_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0011,Crystal Matrix Limited,PROJECT_FINANCE,dscr_verified,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0011,Crystal Matrix Limited,BORROWER_FINANCIALS,borrower_financial_risk_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0011,Crystal Matrix Limited,EXECUTION,execution_risk_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0011,Crystal Matrix Limited,SECURITY_RECOVERY,security_risk_component,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0011,Crystal Matrix Limited,MONTE_CARLO,p95_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0012,Suchi Semicon Private Limited,PROJECT_FINANCE,dscr_verified,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0012,Suchi Semicon Private Limited,BORROWER_FINANCIALS,borrower_financial_risk_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0012,Suchi Semicon Private Limited,EXECUTION,execution_risk_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0012,Suchi Semicon Private Limited,SECURITY_RECOVERY,security_risk_component,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0012,Suchi Semicon Private Limited,MONTE_CARLO,p95_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0004,CG Power and Industrial Solutions Limited,PROJECT_FINANCE,dscr_verified,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0004,CG Power and Industrial Solutions Limited,SECURITY_RECOVERY,security_risk_component,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0004,CG Power and Industrial Solutions Limited,MONTE_CARLO,p95_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0005,Kaynes Technology India Limited,PROJECT_FINANCE,dscr_verified,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0005,Kaynes Technology India Limited,SECURITY_RECOVERY,security_risk_component,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0005,Kaynes Technology India Limited,MONTE_CARLO,p95_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0003,Tata Electronics Private Limited,PROJECT_FINANCE,dscr_verified,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0003,Tata Electronics Private Limited,BORROWER_FINANCIALS,borrower_financial_risk_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0003,Tata Electronics Private Limited,SECURITY_RECOVERY,security_risk_component,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0003,Tata Electronics Private Limited,MONTE_CARLO,p95_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,PROJECT_FINANCE,dscr_verified,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,BORROWER_FINANCIALS,borrower_financial_risk_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,EXECUTION,execution_risk_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,SECURITY_RECOVERY,security_risk_component,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,MONTE_CARLO,p95_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0001,Micron Technology Inc.,PROJECT_FINANCE,dscr_verified,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0001,Micron Technology Inc.,BORROWER_FINANCIALS,borrower_financial_risk_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0001,Micron Technology Inc.,SECURITY_RECOVERY,security_risk_component,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0001,Micron Technology Inc.,MONTE_CARLO,p95_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0008,SiCSem Private Limited,PROJECT_FINANCE,dscr_verified,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0008,SiCSem Private Limited,BORROWER_FINANCIALS,borrower_financial_risk_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0008,SiCSem Private Limited,SECURITY_RECOVERY,security_risk_component,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0008,SiCSem Private Limited,MONTE_CARLO,p95_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0007,3D Glass Solutions Inc.,PROJECT_FINANCE,dscr_verified,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0007,3D Glass Solutions Inc.,BORROWER_FINANCIALS,borrower_financial_risk_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0007,3D Glass Solutions Inc.,SECURITY_RECOVERY,security_risk_component,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0007,3D Glass Solutions Inc.,MONTE_CARLO,p95_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0010,Advanced System in Package Technologies Private Limited,PROJECT_FINANCE,dscr_verified,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0010,Advanced System in Package Technologies Private Limited,BORROWER_FINANCIALS,borrower_financial_risk_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0010,Advanced System in Package Technologies Private Limited,SECURITY_RECOVERY,security_risk_component,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0010,Advanced System in Package Technologies Private Limited,MONTE_CARLO,p95_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0009,Continental Device India Private Limited,PROJECT_FINANCE,dscr_verified,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0009,Continental Device India Private Limited,SECURITY_RECOVERY,security_risk_component,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
SEM-0009,Continental Device India Private Limited,MONTE_CARLO,p95_score,EVIDENCE_NOT_AVAILABLE,DO_NOT_IMPUTE_OR_INFER
