candidate_id,company_candidate,project_type_candidate,state_candidates,investment_candidates_crore,capacity_candidates,source_document,source_page,evidence_project_signal,evidence_company_signal,evidence_investment_signal,evidence_capacity_signal,evidence_state_signal,duplicate_company_similarity,matched_existing_project,duplicate_flag,policy_reference_flag,evidence_strength,recommended_action,verified_company_final,verified_project_type_final,verified_state_final,verified_investment_final,verified_capacity_final,verified_approval_date_final,verification_decision
EXP-CAND-0028,"2020, the Scheme provides financial incentive of wafer fabrication facilities in the country to",ATMP,,522.17; 9481.56; 20000.0; 22081.0; 25571.59; 76000.0,,MeitY_Annual_Report_2024_25.pdf,77,4,1,1,0,0,0.3259,,False,False,STRONG,SOURCE PAGE VERIFICATION,,,,,,,PENDING
EXP-CAND-0009,• Tata Electronics Private Limited (TEPL)’s proposal for setting up a Semiconductor Fab facility in Gujarat with an,ATMP,Andhra Pradesh; Assam; Gujarat; Odisha; Punjab; Uttar Pradesh; Delhi,117.0; 480.0; 1943.0; 2066.0; 3307.0; 3706.0; 7584.0; 27120.0; 91526.0,"15.07Million Units; 6.33 million chips; 36 Mn chips; 4.20 million units; 8
million units; 158.38 million units; 96 million
units; 8
million units/month; 5,000 wafers/month",MeitY_Annual_Report_2025_26.pdf,93,6,1,1,1,1,0.4476,,False,False,STRONG,SOURCE PAGE VERIFICATION,,,,,,,PENDING
EXP-CAND-0030,"Calligo Technologies, Sensesemi Technolo-",OSAT,Gujarat,3307.0; 7584.0; 27120.0,15.07Million Units; 6.33 Million chips,MeitY_Annual_Report_2024_25.pdf,79,2,1,1,1,1,0.7,,False,False,STRONG,SOURCE PAGE VERIFICATION,,,,,,,PENDING
EXP-CAND-0008,Product Design Linked Incentive (DLI) of up to 50% of the eligible expenditure subject to a ceiling of `15 Crore,ATMP,Gujarat,15.0; 30.0; 22516.0,14 million units; 1500 WSPM,MeitY_Annual_Report_2025_26.pdf,92,1,1,1,1,1,0.4148,,False,False,STRONG,SOURCE PAGE VERIFICATION,,,,,,,PENDING
EXP-CAND-0011,• Reopening of the EDA tool access window under the Design Linked Incentive (DLI) scheme,Semiconductor Manufacturing,Karnataka; Odisha,,,MeitY_Annual_Report_2025_26.pdf,96,2,1,0,0,1,0.3043,,False,False,MODERATE,SOURCE PAGE VERIFICATION,,,,,,,PENDING
EXP-CAND-0024,"(SIP), Production Linked Incentive (PLI) scheme for Large Scale Electronics Manufacturing, PLI Scheme 2",Semiconductor Manufacturing,Delhi,,,MeitY_Annual_Report_2024_25.pdf,12,2,1,0,0,1,0.3411,,False,False,MODERATE,SOURCE PAGE VERIFICATION,,,,,,,PENDING
EXP-CAND-0023,• OctaNE - GIS Applications including Drone Tech CoE at STPI-Itanagar,,Punjab; Delhi,640.0,,MeitY_Annual_Report_2025_26.pdf,306,0,1,1,0,1,0.3833,,False,False,MODERATE,SOURCE PAGE VERIFICATION,,,,,,,PENDING
EXP-CAND-0004,Electronics Manufacturing,,,1.0,,MeitY_Annual_Report_2025_26.pdf,81,1,1,1,0,0,0.4912,,False,False,MODERATE,SOURCE PAGE VERIFICATION,,,,,,,PENDING
EXP-CAND-0025,"Shri Vishal Dev, Principal",,Odisha; Uttar Pradesh,3.88,,MeitY_Annual_Report_2024_25.pdf,44,0,1,1,0,1,0.383,,False,False,MODERATE,SOURCE PAGE VERIFICATION,,,,,,,PENDING
EXP-CAND-0022,• MoU with Kyndrl: NIELIT had already signed a MoU with Kyndryl Solutions Private Limited to run the joint,,Uttar Pradesh,5331.79; 860686.78,,MeitY_Annual_Report_2025_26.pdf,302,0,1,1,0,1,0.5822,,False,False,MODERATE,SOURCE PAGE VERIFICATION,,,,,,,PENDING
EXP-CAND-0042,incubated and 6 products launched by these startups,,Tamil Nadu; Delhi,27.0; 54.61,,MeitY_Annual_Report_2024_25.pdf,257,0,1,1,0,1,0.3261,,False,False,MODERATE,SOURCE PAGE VERIFICATION,,,,,,,PENDING
EXP-CAND-0040,manufacturing and service sectors of the electronics and,,,466.0,,MeitY_Annual_Report_2024_25.pdf,173,1,1,1,0,0,0.3918,,False,False,MODERATE,SOURCE PAGE VERIFICATION,,,,,,,PENDING
