source,document,page,company_raw,state,project_type,investment_crore,capacity_raw,approval_date,matched_terms,data_quality_flag
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,92,Micron Technology Inc.; Mohali The Union Cabinet has also approved that Ministry of Electronics; Information Technology; Mohali has been brought under the administrative control of Ministry of Electronics; Micron Technology,Gujarat,OSAT; ATMP; Advanced Packaging; Semiconductor Design,22516.0,14; 1500,June 2023,"investment, approved, crore, semiconductor, ATMP, OSAT, fab, fabrication, display",HIGH
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,93,Tata Electronics Private Limited; CG Power and Industrial Solutions Limited; The facility will be set up as joint venture partnership with Renesas Electronics America Inc.; Kaynes Technology India Limited; Private Limited,Gujarat; Assam; Odisha; Punjab; Andhra Pradesh; Uttar Pradesh,Semiconductor Fab; OSAT; ATMP; Advanced Packaging,91526.0,"15.07; 6.33; 36; 4.20; 8; 158.38; 96; 15.07; 6.33; 50,000; 5,000; 48",February 2024,"investment, approved, crore, semiconductor, ATMP, OSAT, fab, display",HIGH
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,103,Likhotronics Pvt. Ltd.; Bilirubin Sensor Healthcare Instrumentation Pvt. Ltd.; Prompt Equipment Pvt. Ltd.; Ministry of Electronics; Technology Industry Sector Status Sensa Core Medical Technology,,Advanced Packaging,83.08,,24.11.2023,"approved, crore, fab, fabrication, display, project cost",HIGH
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,201,D Printing & Additive Manufacturing Technology; The Ministry of Electronics; Information Technology; D Printing and Additive Manufacturing Technology; Programme is an umbrella programme initiated by Ministry of Electronics,West Bengal; Bihar,Semiconductor Design,250.0,,,"approved, crore, semiconductor, fab, fabrication",HIGH
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,299,Drone and related Technology; Ministry of Electronics; Information Technology,,Semiconductor Design,89.87,,11/7/2023,"crore, fab, fabrication",HIGH
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,301,A Proof-of-concept scanner development Project has been approved by Ministry of Science & Technology; Leveraging AI and Cloud Technology; Ministry of Electronics; Information Technology,,Semiconductor Design,18.04,,13.08.2021,"approved, crore, fab, fabrication, display",HIGH
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,302,NIELIT had already signed a MoU with Kyndryl Solutions Private Limited; NIELIT had already signed a MoU with Kyndryl Solutions; MoU with Infineon Technologies; NIELIT has signed a MoU with Infineon Technologies; MoU with with the Indian Institute of Drone Technology,Uttar Pradesh,Semiconductor Design,860686.78,,,"crore, semiconductor",HIGH
MeitY Annual Report 2024-25,MeitY_Annual_Report_2024_25.pdf,44,Electronics and Information Technology; Create Awareness and wide publicity including and Emerging Technologies; REPORT Ministry of Electronics; Information Technology,Odisha; Uttar Pradesh,Semiconductor Design,3.88,,,"crore, semiconductor",HIGH
MeitY Annual Report 2024-25,MeitY_Annual_Report_2024_25.pdf,79,Aryabhata Circuits and iii. Tata Electronics Private Limited; The semiconductor manufacturing facilities will generate direct employment of about iv. CG Power and Industrial Solutions Limited; Investment Promotion to Attract Investment in be set up as joint venture partnership with ESDM Sector Renesas Electronics America Inc.; Kaynes Technology India Limited; The Technol- includes online meetings with possible investors and in- ogy would be provided by ISO Technology depth presentations outlining the advantages of these Sdn. Bhd. and Aptos Technology Inc.,Gujarat,OSAT; Semiconductor Design,27120.0,"15.07; 6.33; 15.07; 50,000; 48",February 2024,"investment, approved, crore, semiconductor, OSAT, fab, display",HIGH
ISM Approved Projects,ISM_Approved_Projects_Feb2026.pdf,3,Micron Technology Inc.; Tata Electronics Private Limited; CG Power and Industrial Solutions Limited; The facility will be set up as a joint venture partnership with Renesas Electronics America Inc.; Kaynes Technology India Limited,Gujarat; Assam; Odisha; Punjab; Andhra Pradesh; Uttar Pradesh,Advanced Packaging,22516.0,"14; 48; 6.33; 36; 4.20; 8; 158.38; 96; 48; 6.33; 50,000; 5,000",,"investment, approved, crore, semiconductor, fab",HIGH
