project_id,company,structural_cluster,cross_method,borrower_fundamentals,external_credit,allocation,evidence_layers
SEM-0002,Tata Electronics Private Limited,YES,YES,NO,NO,YES,3
SEM-0011,Crystal Matrix Limited,YES,YES,NO,NO,YES,3
SEM-0012,Suchi Semicon Private Limited,YES,YES,NO,NO,YES,3
SEM-0004,CG Power and Industrial Solutions Limited,YES,YES,YES,YES,YES,5
SEM-0005,Kaynes Technology India Limited,YES,YES,YES,YES,YES,5
SEM-0003,Tata Electronics Private Limited,YES,YES,NO,NO,YES,3
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,YES,YES,NO,NO,YES,3
SEM-0001,Micron Technology Inc.,YES,YES,NO,NO,YES,3
SEM-0008,SiCSem Private Limited,YES,YES,NO,NO,YES,3
SEM-0007,3D Glass Solutions Inc.,YES,YES,NO,NO,YES,3
SEM-0010,Advanced System in Package Technologies Private Limited,YES,YES,NO,NO,YES,3
SEM-0009,Continental Device India Private Limited,YES,YES,YES,NO,YES,4
