project_id,company,project_type,state,investment_crore,indicative_model_risk_grade,borrower_credit_strength_class,project_stress_vulnerability_score,project_stress_vulnerability_class,portfolio_concentration_signal_score,portfolio_concentration_class,stress_grade_migration,credit_information_quality,external_credit_signal,credit_posture,exposure_posture,monitoring_priority,early_warning_status,primary_risk_drivers,primary_risk_mitigants,bank_decision_support_explanation
SEM-0002,Tata Electronics Private Limited,Semiconductor Fab,Gujarat,91526,E,NOT_OBSERVABLE,100.0,HIGH,100.0,HIGH,E → E,MODERATE,NOT_AVAILABLE,DEFER_OR_ESCALATE_FOR_SENIOR_CREDIT_REVIEW,LIMIT_AND_DIVERSIFY_EXPOSURE,HIGH,RED,Macro/stress vulnerability | Portfolio concentration,No major verified mitigant identified,Indicative Grade E; Project Stress=HIGH; Borrower Strength=NOT_OBSERVABLE; Portfolio Concentration=HIGH; Evidence Quality=MODERATE; EWS=RED.
SEM-0011,Crystal Matrix Limited,Compound Semiconductor Fab + ATMP,Gujarat,3068,D,NOT_OBSERVABLE,71.09527372373961,ELEVATED,34.6642811181314,MODERATE,C → C,MODERATE,NOT_AVAILABLE,PROCEED_ONLY_WITH_STRONG_RISK_MITIGANTS,LIMIT_AND_DIVERSIFY_EXPOSURE,HIGH,AMBER,Macro/stress vulnerability,No major verified mitigant identified,Indicative Grade D; Project Stress=ELEVATED; Borrower Strength=NOT_OBSERVABLE; Portfolio Concentration=MODERATE; Evidence Quality=MODERATE; EWS=AMBER.
SEM-0012,Suchi Semicon Private Limited,OSAT,Gujarat,868,D,NOT_OBSERVABLE,67.01296884230614,ELEVATED,36.856585635589894,MODERATE,C → C,MODERATE,NOT_AVAILABLE,PROCEED_ONLY_WITH_STRONG_RISK_MITIGANTS,LIMIT_AND_DIVERSIFY_EXPOSURE,HIGH,AMBER,Macro/stress vulnerability,No major verified mitigant identified,Indicative Grade D; Project Stress=ELEVATED; Borrower Strength=NOT_OBSERVABLE; Portfolio Concentration=MODERATE; Evidence Quality=MODERATE; EWS=AMBER.
SEM-0004,CG Power and Industrial Solutions Limited,OSAT,Gujarat,7584,B,STRONG,45.15315566404277,MODERATE,30.35581338221122,MODERATE,B → B,HIGH,SOUND,PROCEED_TO_STANDARD_CREDIT_REVIEW,STANDARD_PORTFOLIO_LIMITS,STANDARD,GREEN,No dominant elevated signal,Strong verified borrower fundamentals | Sound external credit evidence,Indicative Grade B; Project Stress=MODERATE; Borrower Strength=STRONG; Portfolio Concentration=MODERATE; Evidence Quality=HIGH; EWS=GREEN.
SEM-0005,Kaynes Technology India Limited,OSAT,Gujarat,3307,B,STRONG,40.31842288483617,MODERATE,31.18479481332155,MODERATE,B → B,HIGH,SOUND,PROCEED_TO_STANDARD_CREDIT_REVIEW,STANDARD_PORTFOLIO_LIMITS,STANDARD,GREEN,No dominant elevated signal,Strong verified borrower fundamentals | Sound external credit evidence,Indicative Grade B; Project Stress=MODERATE; Borrower Strength=STRONG; Portfolio Concentration=MODERATE; Evidence Quality=HIGH; EWS=GREEN.
SEM-0003,Tata Electronics Private Limited,OSAT,Assam,27120,B,NOT_OBSERVABLE,30.05713019435408,MODERATE,32.26996744899796,MODERATE,B → B,MODERATE,NOT_AVAILABLE,PROCEED_TO_STANDARD_CREDIT_REVIEW,STANDARD_PORTFOLIO_LIMITS,STANDARD,GREEN,No dominant elevated signal,No major verified mitigant identified,Indicative Grade B; Project Stress=MODERATE; Borrower Strength=NOT_OBSERVABLE; Portfolio Concentration=MODERATE; Evidence Quality=MODERATE; EWS=GREEN.
SEM-0009,Continental Device India Private Limited,Semiconductor Manufacturing,Punjab,117,B,VERY_WEAK,0.0,LOW,21.818181818181817,LOW,A → A,HIGH,NOT_AVAILABLE,PROCEED_TO_STANDARD_CREDIT_REVIEW,STANDARD_PORTFOLIO_LIMITS,STANDARD,GREEN,Borrower fundamentals,Lower portfolio concentration | Lower stress vulnerability,Indicative Grade B; Project Stress=LOW; Borrower Strength=VERY_WEAK; Portfolio Concentration=LOW; Evidence Quality=HIGH; EWS=GREEN.
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,OSAT,Uttar Pradesh,3706,A,NOT_OBSERVABLE,17.763110820652695,LOW,2.355785535341159,LOW,A → A,MODERATE,NOT_AVAILABLE,PROCEED_TO_STANDARD_CREDIT_REVIEW,STANDARD_PORTFOLIO_LIMITS,STANDARD,GREEN,No dominant elevated signal,Lower portfolio concentration | Lower stress vulnerability,Indicative Grade A; Project Stress=LOW; Borrower Strength=NOT_OBSERVABLE; Portfolio Concentration=LOW; Evidence Quality=MODERATE; EWS=GREEN.
SEM-0001,Micron Technology Inc.,ATMP,Gujarat,22516,A,NOT_OBSERVABLE,16.311959160811913,LOW,21.975218274707387,LOW,A → A,MODERATE,NOT_AVAILABLE,PROCEED_TO_STANDARD_CREDIT_REVIEW,STANDARD_PORTFOLIO_LIMITS,STANDARD,GREEN,No dominant elevated signal,Lower portfolio concentration | Lower stress vulnerability,Indicative Grade A; Project Stress=LOW; Borrower Strength=NOT_OBSERVABLE; Portfolio Concentration=LOW; Evidence Quality=MODERATE; EWS=GREEN.
SEM-0008,SiCSem Private Limited,Compound Semiconductor Fab + ATMP,Odisha,2066,A,NOT_OBSERVABLE,10.852115241143197,LOW,4.915668737611872,LOW,A → A,MODERATE,NOT_AVAILABLE,PROCEED_TO_STANDARD_CREDIT_REVIEW,STANDARD_PORTFOLIO_LIMITS,STANDARD,GREEN,No dominant elevated signal,Lower portfolio concentration | Lower stress vulnerability,Indicative Grade A; Project Stress=LOW; Borrower Strength=NOT_OBSERVABLE; Portfolio Concentration=LOW; Evidence Quality=MODERATE; EWS=GREEN.
SEM-0007,3D Glass Solutions Inc.,Advanced Packaging,Odisha,1943,A,NOT_OBSERVABLE,7.625738257482885,LOW,12.107659977782175,LOW,A → A,MODERATE,NOT_AVAILABLE,PROCEED_TO_STANDARD_CREDIT_REVIEW,STANDARD_PORTFOLIO_LIMITS,STANDARD,GREEN,No dominant elevated signal,Lower portfolio concentration | Lower stress vulnerability,Indicative Grade A; Project Stress=LOW; Borrower Strength=NOT_OBSERVABLE; Portfolio Concentration=LOW; Evidence Quality=MODERATE; EWS=GREEN.
