project_id,company,field,verified_value,unit,evidence_scope,banking_usability,source_type,source_document,source_url,source_date,verification_status,interpretation
SEM-0001,Micron Technology Inc.,public_project_cost_crore,22516,INR crore,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_GOVERNMENT_OR_ISSUER,PIB / Micron public disclosure,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2247814,,SOURCE_VERIFIED,"Public project investment/project-cost evidence only. Not bank debt, sanctioned exposure or EAD."
SEM-0002,Tata Electronics Private Limited,public_project_cost_crore,91526,INR crore,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_GOVERNMENT_OR_ISSUER,Press Information Bureau,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2247814,,SOURCE_VERIFIED,"Public project investment/project-cost evidence only. Not bank debt, sanctioned exposure or EAD."
SEM-0003,Tata Electronics Private Limited,public_project_cost_crore,27120,INR crore,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_GOVERNMENT_OR_ISSUER,Press Information Bureau,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2247814,,SOURCE_VERIFIED,"Public project investment/project-cost evidence only. Not bank debt, sanctioned exposure or EAD."
SEM-0004,CG Power and Industrial Solutions Limited,public_project_cost_crore,7584,INR crore,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_GOVERNMENT_OR_ISSUER,Press Information Bureau,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2247814,,SOURCE_VERIFIED,"Public project investment/project-cost evidence only. Not bank debt, sanctioned exposure or EAD."
SEM-0005,Kaynes Technology India Limited,public_project_cost_crore,3307,INR crore,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_GOVERNMENT_OR_ISSUER,Press Information Bureau,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2247814,,SOURCE_VERIFIED,"Public project investment/project-cost evidence only. Not bank debt, sanctioned exposure or EAD."
SEM-0007,3D Glass Solutions Inc.,public_project_cost_crore,1943,INR crore,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_GOVERNMENT_OR_ISSUER,Press Information Bureau,https://www.pib.gov.in/PressNoteDetails.aspx?ModuleId=3&NoteId=155130&id=155130,,SOURCE_VERIFIED,"Public project investment/project-cost evidence only. Not bank debt, sanctioned exposure or EAD."
SEM-0008,SiCSem Private Limited,public_project_cost_crore,2066,INR crore,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_GOVERNMENT_OR_ISSUER,Press Information Bureau,https://www.pib.gov.in/PressNoteDetails.aspx?ModuleId=3&NoteId=155130&id=155130,,SOURCE_VERIFIED,"Public project investment/project-cost evidence only. Not bank debt, sanctioned exposure or EAD."
SEM-0009,Continental Device India Private Limited,public_project_cost_crore,117,INR crore,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_GOVERNMENT_OR_ISSUER,Press Information Bureau,https://www.pib.gov.in/PressNoteDetails.aspx?ModuleId=3&NoteId=155130&id=155130,,SOURCE_VERIFIED,"Public project investment/project-cost evidence only. Not bank debt, sanctioned exposure or EAD."
SEM-0010,Advanced System in Package Technologies Private Limited,public_project_cost_crore,468,INR crore,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_GOVERNMENT_OR_ISSUER,Press Information Bureau,https://www.pib.gov.in/PressNoteDetails.aspx?ModuleId=3&NoteId=155130&id=155130,,SOURCE_VERIFIED,"Public project investment/project-cost evidence only. Not bank debt, sanctioned exposure or EAD."
SEM-0011,Crystal Matrix Limited,public_project_cost_crore,3068,INR crore,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_GOVERNMENT_OR_ISSUER,Press Information Bureau,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2258119,,SOURCE_VERIFIED,"Public project investment/project-cost evidence only. Not bank debt, sanctioned exposure or EAD."
