ecosystem_id,source_project_id,project_scope,company,project_name,project_type,project_type_standardized,project_group,scheme,state,approval_date,approval_year,investment_crore,project_outlay_crore,financial_measure_type,financial_measure_crore,capacity_value,capacity_unit,capacity_category,technology,technology_partner,application,chip_node,source_document,source_url,source_authority,data_quality_flag,validated_cluster,PC1,PC2
MFG-0001,SEM-0001,Manufacturing,Micron Technology Inc.,,ATMP,ATMP,Packaging_Testing,India Semiconductor Mission,Gujarat,2023-06-01,2023.0,22516.0,,Manufacturing Project Investment,22516.0,14.0,million units/week,Other,DRAM and NAND assembly and test,,,,MeitY_Annual_Report_2025_26.pdf,,Ministry of Electronics & Information Technology (MeitY),OK,4,1.0264708080301217,0.1503819062586876
MFG-0002,SEM-0002,Manufacturing,Tata Electronics Private Limited,,Semiconductor Fab,FAB,Fabrication,India Semiconductor Mission,Gujarat,2024-02-01,2024.0,91526.0,,Manufacturing Project Investment,91526.0,50000.0,WSPM,Wafer Capacity,Semiconductor fabrication,"PSMC, Taiwan",,,MeitY_Annual_Report_2025_26.pdf,,Ministry of Electronics & Information Technology (MeitY),OK,3,4.049989499997996,2.10236389062338
MFG-0003,SEM-0003,Manufacturing,Tata Electronics Private Limited,,OSAT,OSAT,Packaging_Testing,India Semiconductor Mission,Assam,2024-02-01,2024.0,27120.0,,Manufacturing Project Investment,27120.0,48.0,million units/day,Unit Capacity,Semiconductor packaging,,,,MeitY_Annual_Report_2025_26.pdf,,Ministry of Electronics & Information Technology (MeitY),OK,1,2.231249401497603,1.5556757098155285
MFG-0004,SEM-0004,Manufacturing,CG Power and Industrial Solutions Limited,,OSAT,OSAT,Packaging_Testing,India Semiconductor Mission,Gujarat,2024-02-01,2024.0,7584.0,,Manufacturing Project Investment,7584.0,15.07,million units/day,Unit Capacity,Semiconductor assembly and testing,Renesas Electronics / STARS Microelectronic,,,MeitY_Annual_Report_2025_26.pdf,,Ministry of Electronics & Information Technology (MeitY),OK,1,3.364774228462403,-0.9073901445804072
MFG-0005,SEM-0005,Manufacturing,Kaynes Technology India Limited,,OSAT,OSAT,Packaging_Testing,India Semiconductor Mission,Gujarat,2024-09-01,2024.0,3307.0,,Manufacturing Project Investment,3307.0,6.33,million chips/day,Chip Capacity,Wire bond interconnect / substrate based packages,ISO Technology / AOI Electronics,,,MeitY_Annual_Report_2025_26.pdf,,Ministry of Electronics & Information Technology (MeitY),OK,1,3.267577006216881,-1.1752987979692802
MFG-0006,SEM-0006,Manufacturing,Vama Sundari Investments (Delhi) Private Limited / Foxconn,,OSAT,OSAT,Packaging_Testing,India Semiconductor Mission,Uttar Pradesh,2025-05-01,2025.0,3706.0,,Manufacturing Project Investment,3706.0,36.0,million chips/month,Monthly Chip Capacity,"Display Driver ICs (DDIC), Gold Bump, chip probing and die processing",Hon Hai / Foxconn,,,MeitY_Annual_Report_2025_26.pdf,,Ministry of Electronics & Information Technology (MeitY),OK,1,2.6922537584679858,-1.052533871662879
MFG-0007,SEM-0007,Manufacturing,3D Glass Solutions Inc.,,Advanced Packaging,Advanced Packaging,Advanced_Packaging,India Semiconductor Mission,Odisha,2025-08-01,2025.0,1943.0,,Manufacturing Project Investment,1943.0,4.2,million units/month,Monthly Unit Capacity,Advanced packaging / glass substrate / 3D heterogeneous integration,,,,MeitY_Annual_Report_2025_26.pdf,,Ministry of Electronics & Information Technology (MeitY),OK,4,0.1124676994240353,-0.6645063665118969
MFG-0008,SEM-0008,Manufacturing,SiCSem Private Limited,,Compound Semiconductor Fab + ATMP,FAB,Fabrication,India Semiconductor Mission,Odisha,2025-08-01,2025.0,2066.0,,Manufacturing Project Investment,2066.0,5000.0,wafers/month,Wafer Capacity,Silicon Carbide (SiC),Clas-SiC Wafer Fab / Continental Device India,,,MeitY_Annual_Report_2025_26.pdf,,Ministry of Electronics & Information Technology (MeitY),OK,3,2.527763120200996,-0.6560157058559306
MFG-0009,SEM-0009,Manufacturing,Continental Device India Private Limited,,Semiconductor Manufacturing,Semiconductor Manufacturing,Manufacturing,India Semiconductor Mission,Punjab,2025-08-01,2025.0,117.0,,Manufacturing Project Investment,117.0,158.38,million units/year,Annual Unit Capacity,Silicon and Silicon Carbide discrete semiconductor devices,,,,MeitY_Annual_Report_2025_26.pdf,,Ministry of Electronics & Information Technology (MeitY),OK,4,-0.0527292658660491,-1.0667172860526355
MFG-0010,SEM-0010,Manufacturing,Advanced System in Package Technologies Private Limited,,OSAT,OSAT,Packaging_Testing,India Semiconductor Mission,Andhra Pradesh,2025-08-01,2025.0,480.0,,Manufacturing Project Investment,480.0,96.0,million units/year,Annual Unit Capacity,Semiconductor packaging and testing,"APACT Co. Ltd., South Korea",,,MeitY_Annual_Report_2025_26.pdf,,Ministry of Electronics & Information Technology,OK,1,2.384580886289558,-1.8565482318011497
