project_id,company,project_type,project_group,state,approval_date,approval_year,investment_crore,investment_category,capacity_value,capacity_unit,capacity_category,technology,technology_partner,source_document,source_page,source,data_quality_flag,project_type_standardized,state_verified,year,rbi_electronics_credit_crore,rbi_electronics_credit_growth_pct,rbi_electronics_credit_growth_volatility,total_gross_npa_closing_crore,total_net_npa_closing_crore,total_gross_npa_addition_crore,total_gross_npa_reduction_crore,total_gross_npa_writeoff_crore,gross_npa_growth_pct,net_to_gross_npa_ratio,npa_addition_pressure,electronics_credit_available,electronics_credit_stress,banking_npa_stress_flag,banking_stress_score
SEM-0001,Micron Technology Inc.,ATMP,Packaging_Testing,Gujarat,2023-06-01,2023,22516,Mega,14.0,million units/week,Other,DRAM and NAND assembly and test,,MeitY_Annual_Report_2025_26.pdf,92,Ministry of Electronics & Information Technology (MeitY),OK,ATMP,True,2023,40836.84364,11.13477360152293,3.969131659234745,36763.7,8384.32,11150.39,10099.27,18346.82,-31.99388080518838,0.22805974371458804,0.3032989062580752,1,0.0,0.0,0.0
SEM-0002,Tata Electronics Private Limited,Semiconductor Fab,Fabrication,Gujarat,2024-02-01,2024,91526,Mega,50000.0,WSPM,Wafer Capacity,Semiconductor fabrication,"PSMC, Taiwan",MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,FAB,True,2024,43395.91409,6.266572589594976,3.8441118377064907,31833.63,7213.34,10396.53,4729.29,10597.31,-13.41015730190377,0.22659495634019747,0.3265895218358698,1,0.0,0.0,0.0
SEM-0003,Tata Electronics Private Limited,OSAT,Packaging_Testing,Assam,2024-02-01,2024,27120,Mega,48.0,million units/day,Unit Capacity,Semiconductor packaging,,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,OSAT,True,2024,43395.91409,6.266572589594976,3.8441118377064907,31833.63,7213.34,10396.53,4729.29,10597.31,-13.41015730190377,0.22659495634019747,0.3265895218358698,1,0.0,0.0,0.0
SEM-0004,CG Power and Industrial Solutions Limited,OSAT,Packaging_Testing,Gujarat,2024-02-01,2024,7584,Large,15.07,million units/day,Unit Capacity,Semiconductor assembly and testing,Renesas Electronics / STARS Microelectronic,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,OSAT,True,2024,43395.91409,6.266572589594976,3.8441118377064907,31833.63,7213.34,10396.53,4729.29,10597.31,-13.41015730190377,0.22659495634019747,0.3265895218358698,1,0.0,0.0,0.0
SEM-0005,Kaynes Technology India Limited,OSAT,Packaging_Testing,Gujarat,2024-09-01,2024,3307,Medium,6.33,million chips/day,Chip Capacity,Wire bond interconnect / substrate based packages,ISO Technology / AOI Electronics,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,OSAT,True,2024,43395.91409,6.266572589594976,3.8441118377064907,31833.63,7213.34,10396.53,4729.29,10597.31,-13.41015730190377,0.22659495634019747,0.3265895218358698,1,0.0,0.0,0.0
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,OSAT,Packaging_Testing,Uttar Pradesh,2025-05-01,2025,3706,Medium,36.0,million chips/month,Monthly Chip Capacity,"Display Driver ICs (DDIC), Gold Bump, chip probing and die processing",Hon Hai / Foxconn,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,OSAT,True,2025,52863.09654,21.81583830764746,7.953659416892725,27834.88,6994.22,9310.13,4320.06,8988.82,-12.561401260239569,0.2512753782304792,0.33447710211073295,1,0.0,0.0,0.0
SEM-0007,3D Glass Solutions Inc.,Advanced Packaging,Advanced_Packaging,Odisha,2025-08-01,2025,1943,Medium,4.2,million units/month,Monthly Unit Capacity,Advanced packaging / glass substrate / 3D heterogeneous integration,,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,Advanced Packaging,True,2025,52863.09654,21.81583830764746,7.953659416892725,27834.88,6994.22,9310.13,4320.06,8988.82,-12.561401260239569,0.2512753782304792,0.33447710211073295,1,0.0,0.0,0.0
SEM-0008,SiCSem Private Limited,Compound Semiconductor Fab + ATMP,Fabrication,Odisha,2025-08-01,2025,2066,Medium,5000.0,wafers/month,Wafer Capacity,Silicon Carbide (SiC),Clas-SiC Wafer Fab / Continental Device India,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,FAB,True,2025,52863.09654,21.81583830764746,7.953659416892725,27834.88,6994.22,9310.13,4320.06,8988.82,-12.561401260239569,0.2512753782304792,0.33447710211073295,1,0.0,0.0,0.0
SEM-0009,Continental Device India Private Limited,Semiconductor Manufacturing,Manufacturing,Punjab,2025-08-01,2025,117,Small,158.38,million units/year,Annual Unit Capacity,Silicon and Silicon Carbide discrete semiconductor devices,,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,Semiconductor Manufacturing,True,2025,52863.09654,21.81583830764746,7.953659416892725,27834.88,6994.22,9310.13,4320.06,8988.82,-12.561401260239569,0.2512753782304792,0.33447710211073295,1,0.0,0.0,0.0
SEM-0010,Advanced System in Package Technologies Private Limited,OSAT,Packaging_Testing,Andhra Pradesh,2025-08-01,2025,480,Small,96.0,million units/year,Annual Unit Capacity,Semiconductor packaging and testing,"APACT Co. Ltd., South Korea",MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology,OK,OSAT,True,2025,52863.09654,21.81583830764746,7.953659416892725,27834.88,6994.22,9310.13,4320.06,8988.82,-12.561401260239569,0.2512753782304792,0.33447710211073295,1,0.0,0.0,0.0
