ecosystem_id,source_project_id,project_scope,company,project_name,project_type,project_type_standardized,project_group,scheme,state,approval_date,approval_year,investment_crore,project_outlay_crore,financial_measure_type,financial_measure_crore,capacity_value,capacity_unit,capacity_category,technology,technology_partner,application,chip_node,source_document,source_url,source_authority,data_quality_flag,is_manufacturing,is_design,is_fab,is_osat,is_atmp,is_design_project,log_financial_measure,financial_rank_within_scope,financial_size_relative_to_scope_max,financial_zscore_within_scope,state_project_count,scope_state_project_count,scope_state_project_share,state_financial_total_crore,state_financial_share_within_scope,company_project_count,multi_project_company_flag,has_technology_info,has_application_info,is_ai_related,is_telecom_related,is_automotive_related,is_iot_related,is_medical_related,chip_node_nm,has_chip_node,capacity_available,log_capacity_value,has_technology_partner,approval_year_available,record_completeness_score,size_component,geographic_concentration_component,company_concentration_component,analytical_exposure_index,analytical_exposure_percentile
MFG-0001,SEM-0001,Manufacturing,Micron Technology Inc.,,ATMP,ATMP,Packaging_Testing,India Semiconductor Mission,Gujarat,2023-06-01,2023.0,22516.0,,Manufacturing Project Investment,22516.0,14.0,million units/week,Other,DRAM and NAND assembly and test,,,,MeitY_Annual_Report_2025_26.pdf,,Ministry of Electronics & Information Technology (MeitY),OK,1,0,0,0,1,0,10.02202585845966,0.8333333333333334,0.24600659921770862,0.3536651258678704,6,6,0.5,128869.0,0.7843470216249444,1,0,1,0,0,0,0,0,0,,0,1,2.70805020110221,0,1,0.8,0.8333333333333334,0.7843470216249444,0.0,0.5392267849860927,0.8333333333333334
MFG-0002,SEM-0002,Manufacturing,Tata Electronics Private Limited,,Semiconductor Fab,FAB,Fabrication,India Semiconductor Mission,Gujarat,2024-02-01,2024.0,91526.0,,Manufacturing Project Investment,91526.0,50000.0,WSPM,Wafer Capacity,Semiconductor fabrication,"PSMC, Taiwan",,,MeitY_Annual_Report_2025_26.pdf,,Ministry of Electronics & Information Technology (MeitY),OK,1,0,1,0,0,0,11.424389289702704,1.0,1.0,3.1195013540053025,6,6,0.5,128869.0,0.7843470216249444,2,1,1,0,0,0,0,0,0,,0,1,10.819798284210286,1,1,0.8,1.0,0.7843470216249444,1.0,0.9281156738749815,1.0
MFG-0003,SEM-0003,Manufacturing,Tata Electronics Private Limited,,OSAT,OSAT,Packaging_Testing,India Semiconductor Mission,Assam,2024-02-01,2024.0,27120.0,,Manufacturing Project Investment,27120.0,48.0,million units/day,Unit Capacity,Semiconductor packaging,,,,MeitY_Annual_Report_2025_26.pdf,,Ministry of Electronics & Information Technology (MeitY),OK,1,0,0,1,0,0,10.208063614530875,0.9166666666666666,0.29630924546030635,0.538187803658694,1,1,0.08333333333333333,27120.0,0.16506290284295289,2,1,1,0,0,0,0,0,0,,0,1,3.8918202981106265,0,1,0.8,0.9166666666666666,0.16506290284295289,1.0,0.6939098565032066,0.9166666666666666
MFG-0004,SEM-0004,Manufacturing,CG Power and Industrial Solutions Limited,,OSAT,OSAT,Packaging_Testing,India Semiconductor Mission,Gujarat,2024-02-01,2024.0,7584.0,,Manufacturing Project Investment,7584.0,15.07,million units/day,Unit Capacity,Semiconductor assembly and testing,Renesas Electronics / STARS Microelectronic,,,MeitY_Annual_Report_2025_26.pdf,,Ministry of Electronics & Information Technology (MeitY),OK,1,0,0,1,0,0,8.933927891782632,0.75,0.08286170050040426,-0.24479113494285468,6,6,0.5,128869.0,0.7843470216249444,1,0,1,0,0,0,0,0,0,,0,1,2.776954179749421,1,1,0.8,0.75,0.7843470216249444,0.0,0.5114490072083148,0.75
MFG-0005,SEM-0005,Manufacturing,Kaynes Technology India Limited,,OSAT,OSAT,Packaging_Testing,India Semiconductor Mission,Gujarat,2024-09-01,2024.0,3307.0,,Manufacturing Project Investment,3307.0,6.33,million chips/day,Chip Capacity,Wire bond interconnect / substrate based packages,ISO Technology / AOI Electronics,,,MeitY_Annual_Report_2025_26.pdf,,Ministry of Electronics & Information Technology (MeitY),OK,1,0,0,1,0,0,8.104099056143582,0.5833333333333334,0.03613180954045845,-0.41620805347268797,6,6,0.5,128869.0,0.7843470216249444,1,0,1,0,0,0,0,0,0,,0,1,1.9919755158985601,1,1,0.8,0.5833333333333334,0.7843470216249444,0.0,0.4558934516527593,0.6666666666666666
MFG-0006,SEM-0006,Manufacturing,Vama Sundari Investments (Delhi) Private Limited / Foxconn,,OSAT,OSAT,Packaging_Testing,India Semiconductor Mission,Uttar Pradesh,2025-05-01,2025.0,3706.0,,Manufacturing Project Investment,3706.0,36.0,million chips/month,Monthly Chip Capacity,"Display Driver ICs (DDIC), Gold Bump, chip probing and die processing",Hon Hai / Foxconn,,,MeitY_Annual_Report_2025_26.pdf,,Ministry of Electronics & Information Technology (MeitY),OK,1,0,0,1,0,0,8.217978203150732,0.6666666666666666,0.040491226536721804,-0.4002166224478099,3,1,0.08333333333333333,3706.0,0.0225561621657811,1,0,1,0,0,0,0,0,0,,0,1,3.6109179126442243,1,1,0.8,0.6666666666666666,0.0225561621657811,0.0,0.22974094294414923,0.4166666666666667
MFG-0007,SEM-0007,Manufacturing,3D Glass Solutions Inc.,,Advanced Packaging,Advanced Packaging,Advanced_Packaging,India Semiconductor Mission,Odisha,2025-08-01,2025.0,1943.0,,Manufacturing Project Investment,1943.0,4.2,million units/month,Monthly Unit Capacity,Advanced packaging / glass substrate / 3D heterogeneous integration,,,,MeitY_Annual_Report_2025_26.pdf,,Ministry of Electronics & Information Technology (MeitY),OK,1,0,0,0,0,0,7.572502985020384,0.3333333333333333,0.021228940410375194,-0.47087550188856186,2,2,0.16666666666666666,4009.0,0.02440033840329639,1,0,1,0,0,0,0,0,0,,0,1,1.6486586255873816,0,1,0.8,0.3333333333333333,0.02440033840329639,0.0,0.11924455724554324,0.25
MFG-0008,SEM-0008,Manufacturing,SiCSem Private Limited,,Compound Semiconductor Fab + ATMP,FAB,Fabrication,India Semiconductor Mission,Odisha,2025-08-01,2025.0,2066.0,,Manufacturing Project Investment,2066.0,5000.0,wafers/month,Wafer Capacity,Silicon Carbide (SiC),Clas-SiC Wafer Fab / Continental Device India,,,MeitY_Annual_Report_2025_26.pdf,,Ministry of Electronics & Information Technology (MeitY),OK,1,0,1,0,1,0,7.633853559681768,0.4166666666666667,0.022572820837794726,-0.4659458126252536,2,2,0.16666666666666666,4009.0,0.02440033840329639,1,0,1,0,0,0,0,0,0,,0,1,8.517393171418904,1,1,0.8,0.4166666666666667,0.02440033840329639,0.0,0.14702233502332104,0.3333333333333333
MFG-0009,SEM-0009,Manufacturing,Continental Device India Private Limited,,Semiconductor Manufacturing,Semiconductor Manufacturing,Manufacturing,India Semiconductor Mission,Punjab,2025-08-01,2025.0,117.0,,Manufacturing Project Investment,117.0,158.38,million units/year,Annual Unit Capacity,Silicon and Silicon Carbide discrete semiconductor devices,,,,MeitY_Annual_Report_2025_26.pdf,,Ministry of Electronics & Information Technology (MeitY),OK,1,0,0,0,0,0,4.770684624465665,0.08333333333333333,0.0012783252846185783,-0.5440593441227156,1,1,0.08333333333333333,117.0,0.0007121076560702613,1,0,1,0,0,0,0,0,0,,0,1,5.071291287969602,0,1,0.8,0.08333333333333333,0.0007121076560702613,0.0,0.02801514699646786,0.08333333333333333
MFG-0010,SEM-0010,Manufacturing,Advanced System in Package Technologies Private Limited,,OSAT,OSAT,Packaging_Testing,India Semiconductor Mission,Andhra Pradesh,2025-08-01,2025.0,480.0,,Manufacturing Project Investment,480.0,96.0,million units/year,Annual Unit Capacity,Semiconductor packaging and testing,"APACT Co. Ltd., South Korea",,,MeitY_Annual_Report_2025_26.pdf,,Ministry of Electronics & Information Technology,OK,1,0,0,1,0,0,6.175867270105761,0.16666666666666666,0.005244411424076219,-0.5295107489797815,1,1,0.08333333333333333,480.0,0.002921467306954918,1,0,1,0,0,0,0,0,0,,0,1,4.574710978503383,1,1,0.8,0.16666666666666666,0.002921467306954918,0.0,0.05652937799120719,0.16666666666666666
MFG-0011,SEM-0011,Manufacturing,Crystal Matrix Limited,,Compound Semiconductor Fab + ATMP,FAB,Fabrication,India Semiconductor Mission,Gujarat,2026-05-05,2026.0,3068.0,,Manufacturing Project Investment,3068.0,72000.0,sq metres display panels/year,Display Capacity,"GaN compound semiconductor fabrication; Mini/Micro-LED display modules; GaN foundry services including epitaxy on 6-inch wafers; additional capacity: 24,000 sets of RGB GaN wafers/year",,,,PIB Cabinet Release ID 2258116 / PIB Crystal Matrix Fact Sheet,,"Press Information Bureau, Government of India",OK,1,0,1,0,1,0,8.029107054619736,0.5,0.03352052968555383,-0.42578688057781544,6,6,0.5,128869.0,0.7843470216249444,1,0,1,0,0,0,0,0,0,,0,1,11.184435286790631,0,1,0.8,0.5,0.7843470216249444,0.0,0.42811567387498145,0.5833333333333334
MFG-0012,SEM-0012,Manufacturing,Suchi Semicon Private Limited,,OSAT,OSAT,Packaging_Testing,India Semiconductor Mission,Gujarat,2026-05-05,2026.0,868.0,,Manufacturing Project Investment,868.0,1033.2,million chips/year,Annual Chip Capacity,OSAT for discrete semiconductors; Lead Frame and Wirebond Packaging,,,,PIB Cabinet Release ID 2258116 / PIB Suchi Semicon Fact Sheet,,"Press Information Bureau, Government of India",OK,1,0,0,1,0,0,6.767343125265392,0.25,0.009483643991871162,-0.5139601844743863,6,6,0.5,128869.0,0.7843470216249444,1,0,1,0,0,0,0,0,0,,0,1,6.941383459962121,0,1,0.8,0.25,0.7843470216249444,0.0,0.34478234054164814,0.5
DLI-001,DLI-001,Semiconductor Design,Fermionic Design Pvt. Ltd.,A 4-channel Mux-Demux Gain Phase Shifter for Hybrid Beamformer in 8-12GHz for satellite communication and 5G Antenna Array systems,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,10.4719,DLI Project Outlay,10.4719,,,,RF/Radar; 5G,,Telecommunications,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,0,1,0,0,0,1,2.439900566943401,0.16666666666666666,0.12503462603878115,-1.1483534211595232,11,11,0.4583333333333333,352.8129,0.45421112861545215,1,0,1,1,0,1,0,0,0,,0,0,,0,0,0.8,0.16666666666666666,0.45421112861545215,0.0,0.2069592650940396,0.3333333333333333
DLI-002,DLI-002,Semiconductor Design,Morphing Machines Pvt. Ltd.,"SoC, IP and Accelerator card powered by REDEFINE architecture and Ecosystem",Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,20.4883,DLI Project Outlay,20.4883,,,,SoC; AI Accelerator,,,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,0,1,0,0,0,1,3.0675086009641386,0.2916666666666667,0.24463057598624507,-0.6229653411227424,11,11,0.4583333333333333,352.8129,0.45421112861545215,1,0,1,0,1,0,0,0,0,,0,0,,0,0,0.6,0.2916666666666667,0.45421112861545215,0.0,0.24862593176070627,0.4166666666666667
DLI-003,DLI-003,Semiconductor Design,Calligo Technologies Pvt. Ltd.,SoC with RISC V and POSIT Coprocessor based Accelerator Card with Software Ecosystem,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,41.9275,DLI Project Outlay,41.9275,,,,SoC; RISC-V; AI Accelerator; Processor,,,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,0,1,0,0,0,1,3.759512646205821,0.7916666666666666,0.5006149106886999,0.5015804163873961,11,11,0.4583333333333333,352.8129,0.45421112861545215,1,0,1,0,1,0,0,0,0,,0,0,,0,0,0.6,0.7916666666666666,0.45421112861545215,0.0,0.4152925984273729,0.875
DLI-004,DLI-004,Semiconductor Design,Sensesemi Technologies Pvt. Ltd.,SenseSoC-200 SoC for IOT and Medical Applications,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,39.0702,DLI Project Outlay,39.0702,,,,SoC,,IoT; Medical,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,0,1,0,0,0,1,3.6906329159008826,0.625,0.4664987104785557,0.3517070725623597,11,11,0.4583333333333333,352.8129,0.45421112861545215,1,0,1,1,0,0,0,1,1,,0,0,,0,0,0.8,0.625,0.45421112861545215,0.0,0.3597370428718174,0.7083333333333334
DLI-005,DLI-005,Semiconductor Design,Saankhya Labs Pvt. Ltd.,SoC for Baseband Processing for 5G Telecom infrastructure,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,25.5877,DLI Project Outlay,25.5877,,,,SoC; 5G,,Telecommunications,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,0,1,0,0,0,1,3.280448702829986,0.4583333333333333,0.3055174801795778,-0.35548760707262844,11,11,0.4583333333333333,352.8129,0.45421112861545215,1,0,1,1,0,1,0,0,0,,0,0,,0,0,0.8,0.4583333333333333,0.45421112861545215,0.0,0.3041814873162618,0.5833333333333334
DLI-006,DLI-006,Semiconductor Design,Aryabhata Circuits and Research Labs Pvt. Ltd.,Next Generation IC for Advanced Tire Monitoring System (TMS),Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,40.954899999999995,DLI Project Outlay,40.954899999999995,,,,,,Automotive,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,0,1,0,0,0,1,3.7365952318130544,0.7083333333333334,0.4890020536823,0.45056483727276647,11,11,0.4583333333333333,352.8129,0.45421112861545215,1,0,0,1,0,0,1,0,0,,0,0,,0,0,0.6,0.7083333333333334,0.45421112861545215,0.0,0.38751482064959514,0.7916666666666666
DLI-007,DLI-007,Semiconductor Design,BigEndian Semiconductors Pvt. Ltd.,"SoC for Video Audio Surveillance Unit, Design and Development",Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,31.08,DLI Project Outlay,31.08,,,,SoC,,Surveillance,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,0,1,0,0,0,1,3.4682327829983137,0.5833333333333334,0.3710956156270894,-0.06740117362488184,11,11,0.4583333333333333,352.8129,0.45421112861545215,1,0,1,1,0,0,0,0,0,,0,0,,0,0,0.8,0.5833333333333334,0.45421112861545215,0.0,0.3458481539829285,0.6666666666666666
DLI-008,DLI-008,Semiconductor Design,C2i Semiconductors Pvt. Ltd.,A Digital Multiphase Controller IC for Enterprise Server Power,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,83.75200000000001,DLI Project Outlay,83.75200000000001,,,,,,,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,0,1,0,0,0,1,4.439729344802171,1.0,1.0,2.695391940837133,11,11,0.4583333333333333,352.8129,0.45421112861545215,1,0,0,0,0,0,0,0,0,,0,0,,0,0,0.4,1.0,0.45421112861545215,0.0,0.4847370428718174,0.9166666666666666
DLI-009,DLI-009,Semiconductor Design,MMRFIC Technology Pvt. Ltd.,Indigenous Ka-Band Beamformer RADAR Chip,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,12.5304,DLI Project Outlay,12.5304,,,,RF/Radar,,,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,0,1,0,0,0,1,2.604939005677695,0.20833333333333334,0.14961314356672079,-1.0403793623404152,11,11,0.4583333333333333,352.8129,0.45421112861545215,1,0,1,0,0,1,0,0,0,,0,0,,0,0,0.6,0.20833333333333334,0.45421112861545215,0.0,0.22084815398292848,0.375
DLI-010,DLI-010,Semiconductor Design,Sophrosyne Technologies Pvt. Ltd.,"High-precision, Ultra-low-power SoC for real-time monitoring of cardiac activity and other vital health parameters",Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,21.471,DLI Project Outlay,21.471,,,,SoC,,Medical,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,0,1,0,0,0,1,3.112225588989795,0.3333333333333333,0.25636402712771034,-0.5714199888752138,11,11,0.4583333333333333,352.8129,0.45421112861545215,1,0,1,1,0,0,0,0,1,,0,0,,0,0,0.8,0.3333333333333333,0.45421112861545215,0.0,0.26251482064959514,0.5
DLI-011,DLI-011,Semiconductor Design,Aagyavision Pvt. Ltd.,Radar RF chips for edge applications,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,25.479,DLI Project Outlay,25.479,,,,RF/Radar,,,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,0,1,0,0,0,1,3.2763519660052633,0.375,0.3042196007259528,-0.36118922484947436,11,11,0.4583333333333333,352.8129,0.45421112861545215,1,0,1,0,0,1,0,0,0,,0,0,,0,0,0.6,0.375,0.45421112861545215,0.0,0.2764037095384841,0.5416666666666666
