criterion_id,category,criterion,reviewers,mean_score,median_score,std_score
PR01,Data Quality,Quality and reliability of semiconductor project data,1,4.0,4.0,
PR02,Methodology,Appropriateness of ML methodology for available data,1,4.0,4.0,
PR03,Model Validation,Adequacy of robustness and validation procedures,1,4.0,4.0,
PR04,Banking Relevance,Relevance to bank credit assessment and allocation,1,5.0,5.0,
PR05,Stress Testing,Quality of macro-financial stress-testing framework,1,4.0,4.0,
PR06,Portfolio Risk,Usefulness of concentration and credit-allocation analysis,1,4.0,4.0,
PR07,Explainability,Clarity and interpretability of model outputs,1,4.0,4.0,
PR08,Usability,Practical usability for analysts or credit committees,1,4.0,4.0,
PR09,Limitations,Transparency and handling of model limitations,1,5.0,5.0,
PR10,Deployment Readiness,Readiness for further pilot testing with banks,1,3.0,3.0,
