source_name,source_url,evidence_text,companies_detected
PIB DLI Scheme Status May 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2265285&lang=2&reg=48,"Portal will also enable investors to register their grievances/concernswhich will be resolved by the officials of India Semiconductor Mission (ISM) with the support of Nodal Officers of concerned Ministries, Departments, Organisations, State Governments, approved Project Companies and international and national Trade bodies/associations.",India Semiconductor
PIB DLI Scheme Status May 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2265285&lang=2&reg=48,"The launch event also included an overview and walkthrough of the portal’s framework, functionalities, onboarding process,coordination mechanisms, and the role and responsibilities of the Nodal officers of participating Ministries, Departments, Organisations, State Governments, approved Project Companies,International and National Trade Bodies/Associations.",
PIB DLI Scheme Status May 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2265285&lang=2&reg=48,"Portal will also enable investors to register their grievances/concernswhich will be resolved by the officials of India Semiconductor Mission (ISM) with the support of Nodal Officers of concerned Ministries, Departments, Organisations, State Governments, approved Project Companies and international and national Trade bodies/associations.",India Semiconductor
PIB DLI Scheme Status May 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2265285&lang=2&reg=48,"The launch event also included an overview and walkthrough of the portal’s framework, functionalities, onboarding process,coordination mechanisms, and the role and responsibilities of the Nodal officers of participating Ministries, Departments, Organisations, State Governments, approved Project Companies,International and National Trade Bodies/Associations.",
PIB Semiconductor Ecosystem June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2278446&lang=2&reg=48,"He noted that these highly sophisticated PCBs, comprising up to 20–22 layers of integrated circuitry within an extremely thin structure, form the backbone of today's electronics industry.",
PIB Semiconductor Ecosystem June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2278446&lang=2&reg=48,The Mission is also strengthening India's semiconductor design ecosystem through the Design Linked Incentive (DLI) Scheme.,
PIB Semiconductor Ecosystem June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2278446&lang=2&reg=48,"So far, 24 design projects are being supported, 105 companies have received access to advanced Electronic Design Automation (EDA) tools, and 23 chip tape-outs have been completed at various foundries, including advanced technology nodes.",
PIB Semiconductor Ecosystem June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2278446&lang=2&reg=48,"He noted that these highly sophisticated PCBs, comprising up to 20–22 layers of integrated circuitry within an extremely thin structure, form the backbone of today's electronics industry.",
PIB Semiconductor Ecosystem June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2278446&lang=2&reg=48,The Mission is also strengthening India's semiconductor design ecosystem through the Design Linked Incentive (DLI) Scheme.,
PIB Semiconductor Ecosystem June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2278446&lang=2&reg=48,"So far, 24 design projects are being supported, 105 companies have received access to advanced Electronic Design Automation (EDA) tools, and 23 chip tape-outs have been completed at various foundries, including advanced technology nodes.",
