validated_cluster,ecosystem_id,company,project_name,project_scope,project_type,project_type_standardized,state,financial_measure_crore,financial_measure_type,technology,application
0,DLI-017,Netrasemi Pvt. Ltd.,"Development of ML Acceleration chip with Programmable Hardware Infrastructure for Robots, Drones, Industrial automation and Video Analytics systems (64 TOPS AI performance) on 12nm, TSMC",Semiconductor Design,Semiconductor Design,DESIGN,Kerala,61.25,DLI Project Outlay,AI Accelerator,Artificial Intelligence; Industrial; Robotics/Drones
0,DLI-016,Netrasemi Pvt. Ltd.,A High-End Edge-AI SoC with on-chip video analytics and vector processing computing,Semiconductor Design,Semiconductor Design,DESIGN,Kerala,44.3,DLI Project Outlay,SoC,Artificial Intelligence
0,DLI-003,Calligo Technologies Pvt. Ltd.,SoC with RISC V and POSIT Coprocessor based Accelerator Card with Software Ecosystem,Semiconductor Design,Semiconductor Design,DESIGN,Karnataka,41.9275,DLI Project Outlay,SoC; RISC-V; AI Accelerator; Processor,
0,DLI-002,Morphing Machines Pvt. Ltd.,"SoC, IP and Accelerator card powered by REDEFINE architecture and Ecosystem",Semiconductor Design,Semiconductor Design,DESIGN,Karnataka,20.4883,DLI Project Outlay,SoC; AI Accelerator,
0,DLI-014,InCore Semiconductors Pvt. Ltd.,RISC-V multi-core super scalar processor for smartphones and edge AI,Semiconductor Design,Semiconductor Design,DESIGN,Tamil Nadu,17.43,DLI Project Outlay,RISC-V; Processor,Artificial Intelligence
1,MFG-0003,Tata Electronics Private Limited,,Manufacturing,OSAT,OSAT,Assam,27120.0,Manufacturing Project Investment,Semiconductor packaging,
1,MFG-0004,CG Power and Industrial Solutions Limited,,Manufacturing,OSAT,OSAT,Gujarat,7584.0,Manufacturing Project Investment,Semiconductor assembly and testing,
1,MFG-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,,Manufacturing,OSAT,OSAT,Uttar Pradesh,3706.0,Manufacturing Project Investment,"Display Driver ICs (DDIC), Gold Bump, chip probing and die processing",
1,MFG-0005,Kaynes Technology India Limited,,Manufacturing,OSAT,OSAT,Gujarat,3307.0,Manufacturing Project Investment,Wire bond interconnect / substrate based packages,
1,MFG-0012,Suchi Semicon Private Limited,,Manufacturing,OSAT,OSAT,Gujarat,868.0,Manufacturing Project Investment,OSAT for discrete semiconductors; Lead Frame and Wirebond Packaging,
