project_id,company,project_type,project_group,state,approval_date,approval_year,investment_crore,investment_category,capacity_value,capacity_unit,capacity_category,technology,technology_partner,source_document,source_page,source,data_quality_flag,project_type_standardized,state_verified
SEM-0001,Micron Technology Inc.,ATMP,Packaging_Testing,Gujarat,2023-06-01,2023,22516,Mega,14.0,million units/week,Other,DRAM and NAND assembly and test,,MeitY_Annual_Report_2025_26.pdf,92,Ministry of Electronics & Information Technology (MeitY),OK,ATMP,True
SEM-0002,Tata Electronics Private Limited,Semiconductor Fab,Fabrication,Gujarat,2024-02-01,2024,91526,Mega,50000.0,WSPM,Wafer Capacity,Semiconductor fabrication,"PSMC, Taiwan",MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,FAB,True
SEM-0003,Tata Electronics Private Limited,OSAT,Packaging_Testing,Assam,2024-02-01,2024,27120,Mega,48.0,million units/day,Unit Capacity,Semiconductor packaging,,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,OSAT,True
SEM-0004,CG Power and Industrial Solutions Limited,OSAT,Packaging_Testing,Gujarat,2024-02-01,2024,7584,Large,15.07,million units/day,Unit Capacity,Semiconductor assembly and testing,Renesas Electronics / STARS Microelectronic,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,OSAT,True
SEM-0005,Kaynes Technology India Limited,OSAT,Packaging_Testing,Gujarat,2024-09-01,2024,3307,Medium,6.33,million chips/day,Chip Capacity,Wire bond interconnect / substrate based packages,ISO Technology / AOI Electronics,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,OSAT,True
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,OSAT,Packaging_Testing,Uttar Pradesh,2025-05-01,2025,3706,Medium,36.0,million chips/month,Monthly Chip Capacity,"Display Driver ICs (DDIC), Gold Bump, chip probing and die processing",Hon Hai / Foxconn,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,OSAT,True
SEM-0007,3D Glass Solutions Inc.,Advanced Packaging,Advanced_Packaging,Odisha,2025-08-01,2025,1943,Medium,4.2,million units/month,Monthly Unit Capacity,Advanced packaging / glass substrate / 3D heterogeneous integration,,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,Advanced Packaging,True
SEM-0008,SiCSem Private Limited,Compound Semiconductor Fab + ATMP,Fabrication,Odisha,2025-08-01,2025,2066,Medium,5000.0,wafers/month,Wafer Capacity,Silicon Carbide (SiC),Clas-SiC Wafer Fab / Continental Device India,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,FAB,True
SEM-0009,Continental Device India Private Limited,Semiconductor Manufacturing,Manufacturing,Punjab,2025-08-01,2025,117,Small,158.38,million units/year,Annual Unit Capacity,Silicon and Silicon Carbide discrete semiconductor devices,,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,Semiconductor Manufacturing,True
SEM-0010,Advanced System in Package Technologies Private Limited,OSAT,Packaging_Testing,Andhra Pradesh,2025-08-01,2025,480,Small,96.0,million units/year,Annual Unit Capacity,Semiconductor packaging and testing,"APACT Co. Ltd., South Korea",MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology,OK,OSAT,True
