project_id,company,credit_information_quality,borrower_credit_strength_class,external_credit_signal,credit_information_gaps,credit_posture
SEM-0002,Tata Electronics Private Limited,MODERATE,NOT_OBSERVABLE,NOT_AVAILABLE,Borrower fundamentals | External credit evidence,DEFER_OR_ESCALATE_FOR_SENIOR_CREDIT_REVIEW
SEM-0011,Crystal Matrix Limited,MODERATE,NOT_OBSERVABLE,NOT_AVAILABLE,Borrower fundamentals | External credit evidence,PROCEED_ONLY_WITH_STRONG_RISK_MITIGANTS
SEM-0012,Suchi Semicon Private Limited,MODERATE,NOT_OBSERVABLE,NOT_AVAILABLE,Borrower fundamentals | External credit evidence,PROCEED_ONLY_WITH_STRONG_RISK_MITIGANTS
SEM-0004,CG Power and Industrial Solutions Limited,HIGH,STRONG,SOUND,No major identified information gap,PROCEED_TO_STANDARD_CREDIT_REVIEW
SEM-0005,Kaynes Technology India Limited,HIGH,STRONG,SOUND,No major identified information gap,PROCEED_TO_STANDARD_CREDIT_REVIEW
SEM-0003,Tata Electronics Private Limited,MODERATE,NOT_OBSERVABLE,NOT_AVAILABLE,Borrower fundamentals | External credit evidence,PROCEED_TO_STANDARD_CREDIT_REVIEW
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,MODERATE,NOT_OBSERVABLE,NOT_AVAILABLE,Borrower fundamentals | External credit evidence,PROCEED_TO_STANDARD_CREDIT_REVIEW
SEM-0001,Micron Technology Inc.,MODERATE,NOT_OBSERVABLE,NOT_AVAILABLE,Borrower fundamentals | External credit evidence,PROCEED_TO_STANDARD_CREDIT_REVIEW
SEM-0008,SiCSem Private Limited,MODERATE,NOT_OBSERVABLE,NOT_AVAILABLE,Borrower fundamentals | External credit evidence,PROCEED_TO_STANDARD_CREDIT_REVIEW
SEM-0007,3D Glass Solutions Inc.,MODERATE,NOT_OBSERVABLE,NOT_AVAILABLE,Borrower fundamentals | External credit evidence,PROCEED_TO_STANDARD_CREDIT_REVIEW
SEM-0010,Advanced System in Package Technologies Private Limited,MODERATE,NOT_OBSERVABLE,NOT_AVAILABLE,Borrower fundamentals | External credit evidence,PROCEED_TO_STANDARD_CREDIT_REVIEW
SEM-0009,Continental Device India Private Limited,HIGH,VERY_WEAK,NOT_AVAILABLE,External credit evidence,PROCEED_TO_STANDARD_CREDIT_REVIEW
