project_id,company,project_type,project_group,state,approval_date,approval_year,investment_crore,investment_category,capacity_value,capacity_unit,capacity_category,technology,technology_partner,source_document,source_page,source,data_quality_flag,project_type_standardized,state_verified,investment_log,investment_rank,is_fab,is_osat,is_atmp,is_sic,is_advanced_packaging,state_project_count,state_total_investment,state_investment_share,company_project_count,years_since_approval,capacity_log,capacity_available,has_technology_partner,project_complexity,data_quality_score
SEM-0001,Micron Technology Inc.,ATMP,Packaging_Testing,Gujarat,2023-06-01,2023,22516,Mega,14.0,million units/week,Other,DRAM and NAND assembly and test,,MeitY_Annual_Report_2025_26.pdf,92,Ministry of Electronics & Information Technology (MeitY),OK,ATMP,True,10.02202585845966,3.0,0,0,1,0,0,4,124933,0.7790540329872478,1,2,2.70805020110221,1,0,1,3
SEM-0002,Tata Electronics Private Limited,Semiconductor Fab,Fabrication,Gujarat,2024-02-01,2024,91526,Mega,50000.0,WSPM,Wafer Capacity,Semiconductor fabrication,"PSMC, Taiwan",MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,FAB,True,11.424389289702704,1.0,1,0,0,0,0,4,124933,0.7790540329872478,2,1,10.819798284210286,1,1,1,3
SEM-0003,Tata Electronics Private Limited,OSAT,Packaging_Testing,Assam,2024-02-01,2024,27120,Mega,48.0,million units/day,Unit Capacity,Semiconductor packaging,,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,OSAT,True,10.208063614530875,2.0,0,1,0,0,0,1,27120,0.1691142082125152,2,1,3.8918202981106265,1,0,1,3
SEM-0004,CG Power and Industrial Solutions Limited,OSAT,Packaging_Testing,Gujarat,2024-02-01,2024,7584,Large,15.07,million units/day,Unit Capacity,Semiconductor assembly and testing,Renesas Electronics / STARS Microelectronic,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,OSAT,True,8.933927891782632,4.0,0,1,0,0,0,4,124933,0.7790540329872478,1,1,2.776954179749421,1,1,1,3
SEM-0005,Kaynes Technology India Limited,OSAT,Packaging_Testing,Gujarat,2024-09-01,2024,3307,Medium,6.33,million chips/day,Chip Capacity,Wire bond interconnect / substrate based packages,ISO Technology / AOI Electronics,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,OSAT,True,8.104099056143582,6.0,0,1,0,0,0,4,124933,0.7790540329872478,1,1,1.9919755158985601,1,1,1,3
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,OSAT,Packaging_Testing,Uttar Pradesh,2025-05-01,2025,3706,Medium,36.0,million chips/month,Monthly Chip Capacity,"Display Driver ICs (DDIC), Gold Bump, chip probing and die processing",Hon Hai / Foxconn,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,OSAT,True,8.217978203150732,5.0,0,1,0,0,0,1,3706,0.023109780812521435,1,0,3.6109179126442243,1,1,1,3
SEM-0007,3D Glass Solutions Inc.,Advanced Packaging,Advanced_Packaging,Odisha,2025-08-01,2025,1943,Medium,4.2,million units/month,Monthly Unit Capacity,Advanced packaging / glass substrate / 3D heterogeneous integration,,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,Advanced Packaging,True,7.572502985020384,8.0,0,0,0,0,1,2,4009,0.02499922052817011,1,0,1.6486586255873816,1,0,1,3
SEM-0008,SiCSem Private Limited,Compound Semiconductor Fab + ATMP,Fabrication,Odisha,2025-08-01,2025,2066,Medium,5000.0,wafers/month,Wafer Capacity,Silicon Carbide (SiC),Clas-SiC Wafer Fab / Continental Device India,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,FAB,True,7.633853559681768,7.0,1,0,0,1,0,2,4009,0.02499922052817011,1,0,8.517393171418904,1,1,1,3
SEM-0009,Continental Device India Private Limited,Semiconductor Manufacturing,Manufacturing,Punjab,2025-08-01,2025,117,Small,158.38,million units/year,Annual Unit Capacity,Silicon and Silicon Carbide discrete semiconductor devices,,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OK,Semiconductor Manufacturing,True,4.770684624465665,10.0,0,0,0,1,0,1,117,0.0007295856327752315,1,0,5.071291287969602,1,0,0,3
SEM-0010,Advanced System in Package Technologies Private Limited,OSAT,Packaging_Testing,Andhra Pradesh,2025-08-01,2025,480,Small,96.0,million units/year,Annual Unit Capacity,Semiconductor packaging and testing,"APACT Co. Ltd., South Korea",MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology,OK,OSAT,True,6.175867270105761,9.0,0,1,0,0,0,1,480,0.0029931718267701807,1,0,4.574710978503383,1,1,1,3
