candidate_id,review_priority,source_document,source_page,source_reference,company_candidate,project_type_candidate,state_candidates,investment_candidates_crore,capacity_candidates,evidence_strength,matched_text,is_actual_project,verified_company,verified_project_type,verified_state,verified_approval_date,verified_investment_crore,verified_capacity_value,verified_capacity_unit,verified_capacity_category,verified_technology,verified_technology_partner,evidence_quote,verification_notes,final_verification_status,verification_status_options
EXP-CAND-0028,HIGH,MeitY_Annual_Report_2024_25.pdf,77,MeitY_Annual_Report_2024_25.pdf | Page 77,"2020, the Scheme provides financial incentive of wafer fabrication facilities in the country to",ATMP,,522.17; 9481.56; 20000.0; 22081.0; 25571.59; 76000.0,,STRONG,"Make in India
crore, total investment of ` 522.17 crore and total schemes have been notified under the Semicon
employment of 3,879. India Programme: -
7. Scheme for Promotion of Manufacturing of 8.1 Modified Scheme for setting up Semiconductor
Electronic Components and Semiconductors Fabs in India
(SPECS) •
The scheme is aimed at attracting large
Notified vide Gazette Notification dated April 01, investments for setting up semiconductor
2020, the Scheme provides financial incentive of wafer fabrication facilities in the country to
25% on capital expenditure for the identified list strengthen the electronics manufacturing
of electronic goods that comprise downstream ecosystem and help establish a trusted val-
value chain of electronic products, i.e., electronic ue chain.
components, semiconductor/ display fabrication •
The Scheme extends a fiscal support of 50%
units, ATMP units, specialized sub-assemblies
of the project cost across the technologyn-
and capital goods for manufacture of aforesaid
odes for setting up of Silicon based Semi-
goods. The scheme promotes development of
conductor Fabs in India.
electronic components manufacturing ecosystem
The fiscal support under the scheme shall be
in the country and deepening of electronics value
provided on pari-passu basis for a period of six
chain and is expected to bring new investments to
years from the date of approval.
the tune of ` 20,000 crore with total employment
generation potential (Direct and Indirect) of 8.2 Modified Scheme for setting up of Display Fabs
6,00,000. The scheme is closed to receive new in India
applications on 31.03.2024.
The scheme is aimed at attracting large investments
Progress under the scheme till December, 2024 for manufacturing TFT LCD or AMOLED based
as per latest Quarterly Progress Report display panels in the country to strengthen
the electronics manufacturing ecosystem. The
58 applications have been approved with total
Scheme extends fiscal support of 50% of Project
proposed investment of Rs.22,081 crore. As per
Cost for setting up of Display Fabs in India. The
the Quarterly Progress report submitted by the
fiscal support under the scheme shall be provided
applicant total investment done by the approved
on pari-passu basis for a period of six years from
applications is ` 9,481.56 crore. Total production
the date of approval.
done by the approved applications is ` 25,571.59
crore. Total employment generated by the 8.3 Modified Scheme for setting up of Compound
approved applications is 39,092 persons. Semiconductors / Silicon Photonics / Sensors Fab/
Discrete Semiconductors Fab and Semiconductor
8. Modified Programme for Development of
Assembly, Testing, Marking and Packaging
Semiconductors and Display Manufacturing
(ATMP) / OSAT facilities in India
Ecosystem in India
The scheme extends a fiscal support of 50%
In furtherance of the vision of AatmaNirbhar Bharat
of the Capital Expenditure for setting up of
and positioning India as the global hub for ESDM,
Compound ",,,,,,,,,,,,,,,VERIFIED_PROJECT | REJECTED_NON_PROJECT | DUPLICATE_EXISTING | INSUFFICIENT_EVIDENCE | NEEDS_MORE_RESEARCH
EXP-CAND-0030,HIGH,MeitY_Annual_Report_2024_25.pdf,79,MeitY_Annual_Report_2024_25.pdf | Page 79,"Calligo Technologies, Sensesemi Technolo-",OSAT,Gujarat,3307.0; 7584.0; 27120.0,15.07Million Units; 6.33 Million chips,STRONG,"Make in India
facility in India with an investment of ` 91,526 by ChipIN Centre at C-DAC Bengaluru. Out
crore was approved in February 2024. The of these, 17 companies have also been ap-
fab facility will be set up in technology part- proved for financial support for developing
nership with PSMC, Taiwan. PSMC is an semiconductor chip/ SoCs for applications in
established semiconductor company hav- sectors such as automotive, mobility, com-
ing 6 semiconductor foundries in Taiwan. puting, communications etc namely - DV2JS
The production capacity of the project would Innovation LLP , Vervesemi Microelectron-
be around 50,000 wafer starts per month ics, Fermionic Design, Morphing Machines,
(WSPM). Calligo Technologies, Sensesemi Technolo-
gies, Saankhya Labs, Aryabhata Circuits and
iii. Tata Electronics Private Limited (TEPL)’s
Research Labs, BigEndian Semiconductors,
proposal for setting up of OSAT facility in
C2i Semiconductors, Aheesa Digital Innova-
India with an investment of ` 27,120 crores
tions, Mindgrove Technologies, InCore Sem-
was approved in February 2024. The facility
iconductors, Netrasemi, Green PMU Semi,
will use indigenous semiconductor packag-
WiSig Networks, MosChip Technologies.
ing technologies with a production capacity
of 48 million per day. 8.8 Employment: The semiconductor manufacturing
facilities will generate direct employment of about
iv. CG Power and Industrial Solutions Limited’s
25 thousand advanced technology jobs and about
proposal for setting up OSAT facility in India
60 thousand indirect jobs.
with an investment of ` 7,584 crore was also
approved in February 2024. The facility will 3.4 Investment Promotion to Attract Investment in
be set up as joint venture partnership with ESDM Sector
Renesas Electronics America Inc., USA,
and STARS Microelectronic, Thailand. The 3.4.1 Promotion of PLI, SPECS, EMC 2.0 and
technology would be provided for this facil- Schemes for Development of Semiconductors and
ity by Renesas Electronics Corporation, Ja- Display Manufacturing Ecosystem in India
pan and STARS Microelectronic, Thailand.
To stimulate more investment in the Electronics
The production capacity would be around
System Design and Manufacturing (ESDM) sector in
15.07Million Units per day.
India, several investment promotion initiatives have
v. Kaynes Technology India Limited (KTIL) been launched. In addition, these initiatives are aimed
proposal of for setting up of Outsourced at creating a world-class semiconductor and display
Semiconductor Assembly and Test (OSAT) manufacturing ecosystem, these efforts also include the
facility at Sanand, Gujarat for Wire bond In- introduction of significant schemes like the PLI Scheme
terconnect, Substrate Based Packages was 2.0 for IT Hardware. Further, thorough outreach plan that
approved in September, 2024. The Technol- includes online meetings with possible investors and in-
ogy would be provided by ISO Technology depth presentations outlining the advantages of these
Sdn. Bhd. and ",,,,,,,,,,,,,,,VERIFIED_PROJECT | REJECTED_NON_PROJECT | DUPLICATE_EXISTING | INSUFFICIENT_EVIDENCE | NEEDS_MORE_RESEARCH
EXP-CAND-0008,HIGH,MeitY_Annual_Report_2025_26.pdf,92,MeitY_Annual_Report_2025_26.pdf | Page 92,Product Design Linked Incentive (DLI) of up to 50% of the eligible expenditure subject to a ceiling of `15 Crore,ATMP,Gujarat,15.0; 30.0; 22516.0,14 million units; 1500 WSPM,STRONG,"Make in India
Fab and Semiconductor Assembly, Testing, Marking and Packaging (ATMP) / Outsourced Semiconductor
Assembly and Test (OSAT) facilities in India.
iv. Product Design Linked Incentive (DLI) of up to 50% of the eligible expenditure subject to a ceiling of `15 Crore
per application and also “Deployment Linked Incentive” of 6% to 4% of net sales turnover over 5 years subject to
a ceiling of `30 Crore per application for incentivizing chip design
Government has also approved the modernization of Semi-Conductor Laboratory, Mohali under the Programme.
3.3.9.1 India Semiconductor Mission (ISM):
India Semiconductor Mission (ISM) as an Independent Business Division under the Digital India Corporation, has been
nurturing India’s strategies for developing Semiconductors and display ecosystem focussed on the objectives namely-
• Promoting development of indigenous products/ technologies via suitable mechanisms/ infrastructure facilities
• Enabling cutting-edge research and development and curating pool of skilled manpower.
• Encouraging technology transfer by networking/ partnerships with national and international entities.
• Assisting in obtaining monetary support through requisite fund mechanisms/ grants schemes, etc.
• Facilitating adoption of secure microelectronics and developing a trusted semiconductor supply chain.
3.3.9.2 Modernization of Semi-Conductor Laboratory (SCL), Mohali
The Union Cabinet has also approved that Ministry of Electronics and Information Technology will take requisite steps
for modernization and commercialization of Semi-conductor Laboratory (SCL), Mohali. Semi-conductor Laboratory
(SCL), Mohali has been brought under the administrative control of Ministry of Electronics and Information Technology
from Department of Space
SCL is an Integrated Device Manufacturer which undertakes activities pertaining to design, development, fabrication,
assembly & packaging, testing and quality assurance of Silicon CMOS and MEMS Devices for various applications.
Presently, SCL has two wafer fabrication lines, i.e., 200 mm wafer line operating in 180nm CMOS technology and 150
mm wafer line for MEMS technology. SCL predominantly caters to low volume requirements for various applications.
Boston Consulting Group (BCG) has been engaged to provide consultancy services for the Modernization of Semi-
Conductor Laboratory, Mohali.
The primary focus of the modernization of SCL is the 8-inch 180nm CMOS fab-line with the following outlined objectives:
(i) Augment the capacity of the line to at least 1500 WSPM, build redundancy and improve operational performance
(ii) Enhance technological capability to support broader needs of government, academia and industry
(iii) Ensure operational continuity and improved customer commitment.
As part of its modernization, SCL published RFP and invited proposals to upgrade its chip manufacturing facilities.
Through this RFP, SCL intends to engage experienced Contractor(s) for augmentation and enhancement of the e",,,,,,,,,,,,,,,VERIFIED_PROJECT | REJECTED_NON_PROJECT | DUPLICATE_EXISTING | INSUFFICIENT_EVIDENCE | NEEDS_MORE_RESEARCH
EXP-CAND-0009,HIGH,MeitY_Annual_Report_2025_26.pdf,93,MeitY_Annual_Report_2025_26.pdf | Page 93,• Tata Electronics Private Limited (TEPL)’s proposal for setting up a Semiconductor Fab facility in Gujarat with an,ATMP,Andhra Pradesh; Assam; Gujarat; Odisha; Punjab; Uttar Pradesh; Delhi,117.0; 480.0; 1943.0; 2066.0; 3307.0; 3706.0; 7584.0; 27120.0; 91526.0,"15.07Million Units; 6.33 million chips; 36 Mn chips; 4.20 million units; 8
million units; 158.38 million units; 96 million
units; 8
million units/month; 5,000 wafers/month",STRONG,"Make in India
• Tata Electronics Private Limited (TEPL)’s proposal for setting up a Semiconductor Fab facility in Gujarat with an
investment of ` 91,526 crore was approved in February 2024. The fab facility will be set up in technology partner-
ship with PSMC, Taiwan. PSMC is an established semiconductor company having 6 semiconductor foundries in
Taiwan. The production capacity of the project would be around 50,000 wafer starts per month (WSPM).
• Tata Electronics Private Limited (TEPL)’s proposal for setting up of OSAT facility in Assam with an investment
of ` 27,120 crores was approved in February 2024. The facility will use indigenous semiconductor packaging
technologies with a production capacity of 48 million per day.
• CG Power and Industrial Solutions Limited’s proposal for setting up OSAT facility in Gujarat with an investment
of ` 7,584 crore was also approved in February 2024. The facility will be set up as joint venture partnership
with Renesas Electronics America Inc., USA, and STARS Microelectronic, Thailand. The Technology would be
provided for this facility by Renesas Electronics Corporation, Japan and STARS Microelectronic, Thailand. The
production capacity would be around 15.07Million Units per day.
• Kaynes Technology India Limited (KTIL) proposal for setting up of Outsourced Semiconductor Assembly
and Test (OSAT) facility in Gujarat for Wire bond Interconnect, Substrate Based Packages was approved in
September,2024. The Technology would be provided by ISO Technology Sdn. Bhd. and AOI Electronics Co. Ltd.
(AOI). This facility will be setup with an investment of ` 3,307 crore. The facility will have the capacity to produce
more than 6.33 million chips per day.
• Vama Sundari Investments (Delhi) Private Limited (VSIPL) proposal for setting up of Outsourced Semiconductor
Assembly and Test (OSAT) facility in Uttar Pradesh for display driver ICs (DDIC) using Gold (Au) Bump technology
along with chip probing facilities and die processing services was approved in May,2025. The Technology would
be provided by Hon Hai, Taiwan. The facility will be set up as joint venture partnership between VSIPL and
Foxconn, India with an investment of Rs 3,706 crore. The production capacity would be around 20K wafers per
month/36 Mn chips per month.
• 3D Glass Solutions Inc. (3DGS) proposal for setting up of a vertically integrated advanced packaging and
embedded glass substrate manufacturing on the glass panels in Odisha with an investment of ` 1,943 crores has
been approved in August,2025. The plant will handle the assembly of packaged products such as Flip Chip Ball
Grid Array (FCBGA) assembly, Radio Frequency System in Package (RF SiP), Antenna in Package System in
Package (AiP SiP), glass interposers with passives and silicon bridges and 3D Heterogenous Integration (3DHI)
modules. Proposed Installed capacity for glass panel substrate production, assembly and 3DHI is around 5800
panels per month, 4.20 million units per month, and 1100 units per mo",,,,,,,,,,,,,,,VERIFIED_PROJECT | REJECTED_NON_PROJECT | DUPLICATE_EXISTING | INSUFFICIENT_EVIDENCE | NEEDS_MORE_RESEARCH
EXP-CAND-0045,MEDIUM,ISM_Approved_Projects_Feb2026.pdf,2,ISM_Approved_Projects_Feb2026.pdf | Page 2,"Semiconductors are the backbone of modern electronics, powering computers, mobile devices,",Compound Semiconductor,,76000.0,,MODERATE,"Semiconductors are the backbone of modern electronics, powering computers, mobile devices,
telecommunications, automobiles, defence systems and artificial intelligence. India has made steady
progress in consolidating earlier investments into a full-stack value chain of its semiconductor
ecosystem under ISM 1.0, expanding design capabilities and advancing fabrication, assembly and
testing infrastructure across the country. This momentum reflects the broader vision of Aatmanirbhar
Bharat and India’s transition from policy formulation to production readiness. Building on these gains,
ISM 2.0 seeks to consolidate India’s position as a reliable and competitive participant in the global
semiconductor network.
Sectoral Outlook: India’s Semiconductor Ecosystem
India is steadily emerging as a global
semiconductor hub. Large scale
investments, expanding manufacturing
capacity, and platforms such as SEMICON
India 2025 reflect growing global
confidence in India’s semiconductor
journey. The domestic chip market is
witnessing rapid growth. As per industry
estimates, the size of the Indian
semiconductor market was about $38 Bn in
2023, $45-$50 billion in 2024-2025 and is
expected to reach $100-$110 Bn by 2030.
This expansion is anchored in the national
vision of Make in India and Make for the
World, positioning India as both a
manufacturing base and a global supplier.
The foundation of this growth was laid with
the approval of India Semiconductor Mission 1.0 by the Union Cabinet in December 2021. The
Mission is supported by an incentive framework of ₹76,000 crore, offering fiscal support of up to 50
per cent for silicon fabs, compound semiconductor facilities, assembly and testing units, and chip
design. As of December 2025, 10 projects with a total investment of ₹1.60 lakh crore have been
approved across 6 states. These include silicon fabrication units, silicon carbide fabs, advanced and
memory packaging facilities, and specialised assembly and testing infrastructure. Together, they are
shaping a resilient domestic semiconductor ecosystem.
By 2029, India is expected to achieve the capability to design and manufacture chips required for
nearly 70–75 per cent of domestic applications. Advancing on this foundation, the next phase
under Semicon 2.0 will focus on advanced manufacturing, with a clearly defined roadmap to achieve 3-
nanometre and 2-nanometre technology nodes. By 2035, India aims to be among the top
semiconductor nations globally.",,,,,,,,,,,,,,,VERIFIED_PROJECT | REJECTED_NON_PROJECT | DUPLICATE_EXISTING | INSUFFICIENT_EVIDENCE | NEEDS_MORE_RESEARCH
EXP-CAND-0047,MEDIUM,ISM_Approved_Projects_Feb2026.pdf,4,ISM_Approved_Projects_Feb2026.pdf | Page 4,"appliances, industrial electronics, automobiles, telecommunications, aerospace, and power electronics",ATMP,,15.0; 1000.0; 8000.0,,MODERATE,"These facilities are expected to meet the growing chip requirements of key sectors such as consumer
appliances, industrial electronics, automobiles, telecommunications, aerospace, and power electronics.
Notably, several approved proposals are leveraging indigenous technologies for the assembly, testing,
and packaging of semiconductor chips. This shift reflects India’s move towards deeper technological
capability and reduced dependence on external systems, strengthening its position in the global
semiconductor value chain.
Schemes under ISM
• Semiconductor Fabs Scheme: Provides up to 50 per cent fiscal support for setting up
semiconductor wafer fabrication units, covering advanced and mature technology nodes.
• Display Fabs Scheme: Offers up to 50 per cent financial support to establish AMOLED
and LCD display fabrication units in India.
• Compound Semiconductors and ATMP/OSAT Scheme: Supports compound
semiconductor and chip assembly, testing and packaging units with up to 50 per cent capital
assistance.
• Design Linked Incentive Scheme: With an outlay of ₹1,000 crore, supports chip design
startups and MSMEs through R&D support and incentives of up to ₹15 crore per company.
Anticipated Impact of Semiconductor Programme in 2026–27
India’s semiconductor programme has been recalibrated in response to intensifying global competition
and the concentration of advanced chip technologies among a limited number of players. Several
countries with established semiconductor ecosystems are offering aggressive incentives, making it
necessary for India to refine its approach. The modified programme therefore focuses on strengthening
financial support for investments across semiconductor manufacturing, display fabrication, and the
design ecosystem.
For 2026–27, the Modified Programme for Development of Semiconductor and Display Manufacturing
Ecosystem in India has a total financial outlay of ₹8,000 crore. The programme aims to accelerate
capital investment, generate high quality employment, and expand domestic capabilities across
fabrication, packaging, and chip design. The projected outcomes for the year are outlined below.",,,,,,,,,,,,,,,VERIFIED_PROJECT | REJECTED_NON_PROJECT | DUPLICATE_EXISTING | INSUFFICIENT_EVIDENCE | NEEDS_MORE_RESEARCH
EXP-CAND-0048,MEDIUM,ISM_Approved_Projects_Feb2026.pdf,5,ISM_Approved_Projects_Feb2026.pdf | Page 5,Design Linked Incentive Scheme (Design Semiconductor IP cores to,ATMP,,4000.0; 11000.0,,MODERATE,"Projected Targets under ISM for 2026–27:
Scheme Key Indicator Projected Target
Modified Scheme for Semiconductor
Investment during the year ₹4,000 crore
Fabs (Fabs to be Supported – 1)
Employment generated 1,500 persons
Modified Scheme for Compound
Semiconductors, Silicon Photonics,
Sensors, Discrete Fabs and Assembly,
Investment by units during
Testing, Marking, and Packaging ₹11,000 crore
the year
(ATMP)/ Outsourced Semiconductor
Assembly and Test (OSAT) (Units to be
Supported – 9)
Employment generated by
3,000 persons
supported units
Design Linked Incentive Scheme (Design Semiconductor IP cores to
10
companies to be supported – 30) be developed
Semiconductor design
200 persons
manpower employed
Together, these outcomes reflect a strong push towards scaling domestic manufacturing, deepening
design capabilities, and creating a skilled workforce to support India’s long term semiconductor
ambitions.
Why the India Semiconductor Mission Matters
Semiconductors have become critical to the functioning of modern economies. Though rarely visible in
everyday life, microprocessors quietly power systems that keep societies running. As highlighted in
the Economic Survey 2025–26, they form the backbone of energy networks, financial markets and
telecommunications. They enable manufacturing units, hospitals, transport systems and satellites. A
reliable supply of semiconductors is therefore essential for economic stability and continuity across
sectors.
Recent global disruptions have underscored this dependence. The COVID-19 pandemic exposed serious
weaknesses in semiconductor supply chains, with shortages affecting more than 169 industries
worldwide. Production delays and rising costs followed, slowing economic activity across countries.
These shocks revealed the risks of relying on a narrow set of suppliers. Today, the semiconductor
industry is dominated by a few countries, including Taiwan, South Korea, Japan, China and the United
States. Taiwan alone produces over 60 per cent of the world’s semiconductors and nearly 90 per cent of
the most advanced chips, leaving global supply chains vulnerable to external shocks and geopolitical
tensions.",,,,,,,,,,,,,,,VERIFIED_PROJECT | REJECTED_NON_PROJECT | DUPLICATE_EXISTING | INSUFFICIENT_EVIDENCE | NEEDS_MORE_RESEARCH
EXP-CAND-0024,MEDIUM,MeitY_Annual_Report_2024_25.pdf,12,MeitY_Annual_Report_2024_25.pdf | Page 12,"(SIP), Production Linked Incentive (PLI) scheme for Large Scale Electronics Manufacturing, PLI Scheme 2",Semiconductor Manufacturing,Delhi,,,MODERATE,"To promote indigenous manufacturing, the government has introduced programmes like the Semicon India Programme
(SIP), Production Linked Incentive (PLI) scheme for Large Scale Electronics Manufacturing, PLI Scheme 2.0 for IT
Hardware, Scheme for Promotion of Manufacturing of Electronic Components and Semiconductors (SPECS), and
Modified Electronics Manufacturing Clusters (EMC 2.0) Scheme. These initiatives aim to transform India into a hub for
electronics production and semiconductor manufacturing. The electronics sector has witnessed remarkable growth,
with domestic production increasing from INR 5.54 lakh crore (~USD 76 billion) in FY 2020-21 to INR 9.52 lakh crore
(~USD 115 billion) in FY 2023-24, reflecting a Compound Annual Growth Rate (CAGR) of 19.78%. Projections indicate
that India’s electronics production will reach USD 300 billion by 2026. Semicon India Programme (SIP) aims to provide
financial support to companies investing in semiconductors, display manufacturing and design ecosystem. Under SIP,
five projects of private sector players has been approved for setting up facilities to develop indigenous semiconductor
technologies.
India has established itself as a global IT services hub and has emerged as the World’s 3rd largest start-up ecosystem
with more than 1,50,000 startups operating in the country and 115 unicorns with a total valuation of more than $ 350
Bn. The Indian IT/ ITeS industry has a leading position globally and has been progressively contributing to the growth
of exports and the creation of employment opportunities. India’s IT-BPM industry is expected to grew by ~3.7 % to
reach at USD 254 Billion, including exports of 199.5 USD Billion in FY2023-24 (E). India has positioned itself as a
major hub for Global Capability Centres (GCCs), providing offshore facilities to multinational corporations (MNCs) for
managing business operations. These centres are among the fast-growing segments of India’s digital economy. To
further accelerate its expansion, MeitY is developing a new policy framework that will provide fresh incentives for these
centres. Several Centres of Excellence (CoEs) have been set up to promote startups, incubation, and innovation in
these areas. Furthermore, initiatives like the Future Skills Programme are also enabling Indian IT professionals to attain
world-class skills in these technologies.
India has emerged as a key player in artificial intelligence and emerging technologies. On 7th March 2024, the
Government of India has approved the IndiaAI Mission, a comprehensive national-level programme to democratize and
catalyze the AI innovation ecosystem in the country and ensure the global competitiveness of India’s AI startups and
researchers. The Government of India hosted the ‘Global IndiaAI Summit’ on July 3-4, 2024, in New Delhi. The summit
focused on advancing AI development in areas like Compute Capacity, Foundational Models, Datasets, Application
Development, Future Skills, Startup Financing, and Safe AI,",,,,,,,,,,,,,,,VERIFIED_PROJECT | REJECTED_NON_PROJECT | DUPLICATE_EXISTING | INSUFFICIENT_EVIDENCE | NEEDS_MORE_RESEARCH
EXP-CAND-0025,MEDIUM,MeitY_Annual_Report_2024_25.pdf,44,MeitY_Annual_Report_2024_25.pdf | Page 44,"Shri Vishal Dev, Principal",,Odisha; Uttar Pradesh,3.88,,MODERATE,"Digital India
Achievements: semiconductor strategy and policy which envisions
making India a global hub for semiconductors.
As on 31st December 2024 the following is achieved
(ii) India AI Mission: Roundtable Discussion on
• 278.02 Cr Bulk SMS pushed
AI Innovate: Empowering Tomorrow’s Startups
• 226.83 Cr second of OBD
(August 27, 2024) held at the Vigyan Bhawan
• 3807.43 Cr emails Annexe Building (Committee Room A), on August
27, 2024. The roundtable was held to discuss
• 17.83 Cr. OTT services
challenges faced by AI start-ups and formulated
• 7074 Templates designed through crowd sourcing
effective policies.
• 8.06 Lakh e-greeting shared
(iii) State Consultation Workshop on Creating
Enabling Eco-System for Services in Tier 2 & 3
2.4.8 Awareness and Communication plan for Digital
Cities (August 31, 2024) hosted at Mayfair Lagoon,
India
Bhubaneswar. The workshop was participated
Awareness and Communication (A&C) is an integral by Shri Manoj Ahuja, Chief Secretary, Odisha;
component of the Digital India Programme. A&C performs Shri S Krishnan, Secretary, MeitY, Shri Abhishek
the crucial role of generating and raising the level of Singh, Additional Secretary, MeitY, Ms. Anu
awareness about Digital India, its schemes, initiatives Garg, Development Commissioner-cum-ACS,
and services amongst diverse stakeholders across the Government of Odisha; Shri Vishal Dev, Principal
country. The main objectives of A&C activities are: Secretary, Electronics and Information Technology
Department, Government of Odisha; and senior
(a) Expand visibility of Digital India
government officials from 24 States and Union
(b) Help citizens understand the benefits of Digital
Territories across India.
India.
(iv) RBI@90 (August 26 – 27, 2024) commemorating
(c) Facilitate demand creation for various services
90 years of the Reserve Bank of India (RBI),
leading to more adoption of services
‘Global Conference on Digital Public Infrastructure
(d) Create Awareness and wide publicity including and Emerging Technologies’ was organized by RBI
event based publicity etc., through various media- in Bangalore from August 26 – 27, 2024. NeGD on
social media, radio, TV, print, outdoor media & behalf of MeitY participated in the exhibition and
activities around Government of India Schemes set up stalls showcasing DigiLocker, Entity Locker
and Digital India services. and UMANG.
(e) Inform, Educate, Communicate & Sensitize citizens (v) Various Social meida Coverages
about usage & benefits of services & schemes.
2.4.9 Modernization/Digitalisation of Nagaland Fire
(f) Expand reach of Digital India programme globally
& Emergency-Management System (NFES-MS)
(g) Establish the brand “Digital India” by way of effective
A pilot project being implemented by Directorate of Fire &
branding exercise across various platforms- Mass
Emergency Services, Govt. of Nagaland, with estimated
Media, Social Media, Rural Outreach etc.
outlay of Rs. 3.88 crore for a period of 30 months, has
Some of the major events or",,,,,,,,,,,,,,,VERIFIED_PROJECT | REJECTED_NON_PROJECT | DUPLICATE_EXISTING | INSUFFICIENT_EVIDENCE | NEEDS_MORE_RESEARCH
EXP-CAND-0026,MEDIUM,MeitY_Annual_Report_2024_25.pdf,68,MeitY_Annual_Report_2024_25.pdf | Page 68,"Electronics Manufacturing, Scheme for Promotion",,,189934.0; 241157.0; 620752.0; 727664.0,,MODERATE,"Make in India
Electronics Manufacturing, Scheme for Promotion
FY22-23 FY22- FY23-24 FY23-
of manufacturing of Electronic Components
Product Segment (USD 23 (INR (USD 24 (INR
and Semiconductors (SPECS) and Electronics Bn) Crore) Bn) Crore)
Manufacturing Clusters (EMC 2.0) Scheme.
Mobile Phones 44 3,50,000 51 4,22,000
3.2 Growth of Electronics Sector
IT Hardware 4.5 37,291 5 41,395
(Laptops, Tablets)
Indian electronic manufacturing industry has undergone
major transformation in the last couple of years with the Consumer 12 99,442 13 1,07,627
host of initiatives and reforms. The government has taken Electronics
(TV, Audio,
several initiatives to promote electronics manufacturing
Accessories)
and as a result, the domestic production of electronic
Strategic 4.75 39,363 5.5 45,534
goods has increased substantially from INR 5.54 lakh
Electronics
crore (~USD 76 Bn) in FY 2020-21 to INR 9.52 lakh crore
in FY 2023-24 (~USD 115 Bn), growing at a Compound Industrial 12 99,442 12.5 1,03,487
Electronics
Annual Growth Rate (CAGR) of 19.78%. The key drivers
of growth are the large domestic market, and availability Wearables & 1.25 10,359 2.5 20,697
of skilled talent and low-cost labour. Hearables
Auto Electronics 7.5 62,151 8 66,378
Production, Imports and Exports
LED Lighting 3 24,861 3.5 28,976
The production, imports and exports of electronic goods
for previous 3 years are presented below: Telecom 2 16,574 3.5 28,976
Equipment
(Values in ` crore)
Electronic 10 82,868 10.5 86,929
2021-22 2022-23 2023-24 Components
Electronics 101 8,22,350 115 9,52,000
9,52,000 Manufacturing
Production* 6,40,810 8,25,000
Source: Industry Associations
7,27,664 Note: Medical Equipment and other Equipment having
Imports** 5,49,713 6,20,752
electronic content have not been taken into consideration.
As per DGCI&S data, import of electronic goods has
2,41,157
Exports** 1,16,895 1,89,934
increased from ` 6,20,752 crore in FY 2022-23 to `
727,664 crore in FY 2023-24. It is seen that the growth
*Source: MeitY Annual Report, Industry Association for
rate of imports of finished goods have declined and
FY2023-24
that of electronic components have grown up indicating
**Source: Directorate General of Commercial Intelligence and
the need to set up of manufacturing units of electronic
Statistics (DGCI&S)
components in the country.
•CAGR for Production from FY21-22 to FY23-24: 21.89%
As per the data provided by DGCI&S, the export of
•CAGR for Imports from FY21-22 to FY23-24: 15.05%
electronic goods has increased from ` 1,89,934 crore
•CAGR for Exports from FY21-22 to FY23-24: 43.63%
in FY 2022-23 to ` 2,41,157 crore in FY 2023-24. The
Electronics manufacturing sector has several verticals
government has taken several measures for the growth
in terms of its constituents. The production profile of the
of the exports of electronics hardware sector. Special
electronics sector for FY 2022-23 and FY 2023-24, based
Economic Zones (SEZs) are set up to enable hassle-
on the information provided by Indus",,,,,,,,,,,,,,,VERIFIED_PROJECT | REJECTED_NON_PROJECT | DUPLICATE_EXISTING | INSUFFICIENT_EVIDENCE | NEEDS_MORE_RESEARCH
