credit_committee_review_rank,project_id,company,project_type,state,investment_crore,indicative_model_risk_grade,borrower_credit_strength_class,project_stress_vulnerability_class,portfolio_concentration_class,stress_grade_migration,external_credit_signal,credit_information_quality,credit_information_gaps,credit_posture,exposure_posture,monitoring_priority,early_warning_status,committee_review_category,primary_risk_drivers,primary_risk_mitigants,suggested_committee_actions,credit_committee_rationale
1,SEM-0002,Tata Electronics Private Limited,Semiconductor Fab,Gujarat,91526,E,NOT_OBSERVABLE,HIGH,HIGH,E → E,NOT_AVAILABLE,MODERATE,Borrower fundamentals | External credit evidence,DEFER_OR_ESCALATE_FOR_SENIOR_CREDIT_REVIEW,LIMIT_AND_DIVERSIFY_EXPOSURE,HIGH,RED,PRIORITY_1_SENIOR_CREDIT_REVIEW,Macro/stress vulnerability | Portfolio concentration,No major verified mitigant identified,Escalate to senior credit committee | Review single-project and geographic concentration limits | Apply enhanced post-sanction monitoring,"Tata Electronics Private Limited receives an indicative research grade of E. Project stress vulnerability is HIGH, while borrower credit strength is NOT_OBSERVABLE. Portfolio concentration is HIGH. The early-warning status is RED. The resulting model-supported credit posture is DEFER_OR_ESCALATE_FOR_SENIOR_CREDIT_REVIEW. This assessment is decision support only and is not a probability-of-default estimate or automated lending decision."
2,SEM-0011,Crystal Matrix Limited,Compound Semiconductor Fab + ATMP,Gujarat,3068,D,NOT_OBSERVABLE,ELEVATED,MODERATE,C → C,NOT_AVAILABLE,MODERATE,Borrower fundamentals | External credit evidence,PROCEED_ONLY_WITH_STRONG_RISK_MITIGANTS,LIMIT_AND_DIVERSIFY_EXPOSURE,HIGH,AMBER,PRIORITY_2_ENHANCED_CREDIT_REVIEW,Macro/stress vulnerability,No major verified mitigant identified,"Review collateral, sponsor support and contractual mitigants | Review single-project and geographic concentration limits | Apply enhanced post-sanction monitoring","Crystal Matrix Limited receives an indicative research grade of D. Project stress vulnerability is ELEVATED, while borrower credit strength is NOT_OBSERVABLE. Portfolio concentration is MODERATE. The early-warning status is AMBER. The resulting model-supported credit posture is PROCEED_ONLY_WITH_STRONG_RISK_MITIGANTS. This assessment is decision support only and is not a probability-of-default estimate or automated lending decision."
2,SEM-0012,Suchi Semicon Private Limited,OSAT,Gujarat,868,D,NOT_OBSERVABLE,ELEVATED,MODERATE,C → C,NOT_AVAILABLE,MODERATE,Borrower fundamentals | External credit evidence,PROCEED_ONLY_WITH_STRONG_RISK_MITIGANTS,LIMIT_AND_DIVERSIFY_EXPOSURE,HIGH,AMBER,PRIORITY_2_ENHANCED_CREDIT_REVIEW,Macro/stress vulnerability,No major verified mitigant identified,"Review collateral, sponsor support and contractual mitigants | Review single-project and geographic concentration limits | Apply enhanced post-sanction monitoring","Suchi Semicon Private Limited receives an indicative research grade of D. Project stress vulnerability is ELEVATED, while borrower credit strength is NOT_OBSERVABLE. Portfolio concentration is MODERATE. The early-warning status is AMBER. The resulting model-supported credit posture is PROCEED_ONLY_WITH_STRONG_RISK_MITIGANTS. This assessment is decision support only and is not a probability-of-default estimate or automated lending decision."
4,SEM-0004,CG Power and Industrial Solutions Limited,OSAT,Gujarat,7584,B,STRONG,MODERATE,MODERATE,B → B,SOUND,HIGH,No major identified information gap,PROCEED_TO_STANDARD_CREDIT_REVIEW,STANDARD_PORTFOLIO_LIMITS,STANDARD,GREEN,PRIORITY_4_STANDARD_REVIEW,No dominant elevated signal,Strong verified borrower fundamentals | Sound external credit evidence,Review single-project and geographic concentration limits,"CG Power and Industrial Solutions Limited receives an indicative research grade of B. Project stress vulnerability is MODERATE, while borrower credit strength is STRONG. Portfolio concentration is MODERATE. The early-warning status is GREEN. The resulting model-supported credit posture is PROCEED_TO_STANDARD_CREDIT_REVIEW. This assessment is decision support only and is not a probability-of-default estimate or automated lending decision."
4,SEM-0005,Kaynes Technology India Limited,OSAT,Gujarat,3307,B,STRONG,MODERATE,MODERATE,B → B,SOUND,HIGH,No major identified information gap,PROCEED_TO_STANDARD_CREDIT_REVIEW,STANDARD_PORTFOLIO_LIMITS,STANDARD,GREEN,PRIORITY_4_STANDARD_REVIEW,No dominant elevated signal,Strong verified borrower fundamentals | Sound external credit evidence,Review single-project and geographic concentration limits,"Kaynes Technology India Limited receives an indicative research grade of B. Project stress vulnerability is MODERATE, while borrower credit strength is STRONG. Portfolio concentration is MODERATE. The early-warning status is GREEN. The resulting model-supported credit posture is PROCEED_TO_STANDARD_CREDIT_REVIEW. This assessment is decision support only and is not a probability-of-default estimate or automated lending decision."
4,SEM-0003,Tata Electronics Private Limited,OSAT,Assam,27120,B,NOT_OBSERVABLE,MODERATE,MODERATE,B → B,NOT_AVAILABLE,MODERATE,Borrower fundamentals | External credit evidence,PROCEED_TO_STANDARD_CREDIT_REVIEW,STANDARD_PORTFOLIO_LIMITS,STANDARD,GREEN,PRIORITY_4_STANDARD_REVIEW,No dominant elevated signal,No major verified mitigant identified,Review single-project and geographic concentration limits,"Tata Electronics Private Limited receives an indicative research grade of B. Project stress vulnerability is MODERATE, while borrower credit strength is NOT_OBSERVABLE. Portfolio concentration is MODERATE. The early-warning status is GREEN. The resulting model-supported credit posture is PROCEED_TO_STANDARD_CREDIT_REVIEW. This assessment is decision support only and is not a probability-of-default estimate or automated lending decision."
4,SEM-0009,Continental Device India Private Limited,Semiconductor Manufacturing,Punjab,117,B,VERY_WEAK,LOW,LOW,A → A,NOT_AVAILABLE,HIGH,External credit evidence,PROCEED_TO_STANDARD_CREDIT_REVIEW,STANDARD_PORTFOLIO_LIMITS,STANDARD,GREEN,PRIORITY_4_STANDARD_REVIEW,Borrower fundamentals,Lower portfolio concentration | Lower stress vulnerability,Review single-project and geographic concentration limits,"Continental Device India Private Limited receives an indicative research grade of B. Project stress vulnerability is LOW, while borrower credit strength is VERY_WEAK. Portfolio concentration is LOW. The early-warning status is GREEN. The resulting model-supported credit posture is PROCEED_TO_STANDARD_CREDIT_REVIEW. This assessment is decision support only and is not a probability-of-default estimate or automated lending decision."
8,SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,OSAT,Uttar Pradesh,3706,A,NOT_OBSERVABLE,LOW,LOW,A → A,NOT_AVAILABLE,MODERATE,Borrower fundamentals | External credit evidence,PROCEED_TO_STANDARD_CREDIT_REVIEW,STANDARD_PORTFOLIO_LIMITS,STANDARD,GREEN,PRIORITY_4_STANDARD_REVIEW,No dominant elevated signal,Lower portfolio concentration | Lower stress vulnerability,Review single-project and geographic concentration limits,"Vama Sundari Investments (Delhi) Private Limited / Foxconn receives an indicative research grade of A. Project stress vulnerability is LOW, while borrower credit strength is NOT_OBSERVABLE. Portfolio concentration is LOW. The early-warning status is GREEN. The resulting model-supported credit posture is PROCEED_TO_STANDARD_CREDIT_REVIEW. This assessment is decision support only and is not a probability-of-default estimate or automated lending decision."
8,SEM-0001,Micron Technology Inc.,ATMP,Gujarat,22516,A,NOT_OBSERVABLE,LOW,LOW,A → A,NOT_AVAILABLE,MODERATE,Borrower fundamentals | External credit evidence,PROCEED_TO_STANDARD_CREDIT_REVIEW,STANDARD_PORTFOLIO_LIMITS,STANDARD,GREEN,PRIORITY_4_STANDARD_REVIEW,No dominant elevated signal,Lower portfolio concentration | Lower stress vulnerability,Review single-project and geographic concentration limits,"Micron Technology Inc. receives an indicative research grade of A. Project stress vulnerability is LOW, while borrower credit strength is NOT_OBSERVABLE. Portfolio concentration is LOW. The early-warning status is GREEN. The resulting model-supported credit posture is PROCEED_TO_STANDARD_CREDIT_REVIEW. This assessment is decision support only and is not a probability-of-default estimate or automated lending decision."
8,SEM-0008,SiCSem Private Limited,Compound Semiconductor Fab + ATMP,Odisha,2066,A,NOT_OBSERVABLE,LOW,LOW,A → A,NOT_AVAILABLE,MODERATE,Borrower fundamentals | External credit evidence,PROCEED_TO_STANDARD_CREDIT_REVIEW,STANDARD_PORTFOLIO_LIMITS,STANDARD,GREEN,PRIORITY_4_STANDARD_REVIEW,No dominant elevated signal,Lower portfolio concentration | Lower stress vulnerability,Review single-project and geographic concentration limits,"SiCSem Private Limited receives an indicative research grade of A. Project stress vulnerability is LOW, while borrower credit strength is NOT_OBSERVABLE. Portfolio concentration is LOW. The early-warning status is GREEN. The resulting model-supported credit posture is PROCEED_TO_STANDARD_CREDIT_REVIEW. This assessment is decision support only and is not a probability-of-default estimate or automated lending decision."
