project_id,company,indicative_model_risk_grade,stress_grade_migration,monitoring_priority,early_warning_status,primary_risk_drivers,credit_information_quality
SEM-0002,Tata Electronics Private Limited,E,E → E,HIGH,RED,Macro/stress vulnerability | Portfolio concentration,MODERATE
SEM-0011,Crystal Matrix Limited,D,C → C,HIGH,AMBER,Macro/stress vulnerability,MODERATE
SEM-0012,Suchi Semicon Private Limited,D,C → C,HIGH,AMBER,Macro/stress vulnerability,MODERATE
SEM-0004,CG Power and Industrial Solutions Limited,B,B → B,STANDARD,GREEN,No dominant elevated signal,HIGH
SEM-0005,Kaynes Technology India Limited,B,B → B,STANDARD,GREEN,No dominant elevated signal,HIGH
SEM-0003,Tata Electronics Private Limited,B,B → B,STANDARD,GREEN,No dominant elevated signal,MODERATE
SEM-0009,Continental Device India Private Limited,B,A → A,STANDARD,GREEN,Borrower fundamentals,HIGH
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,A,A → A,STANDARD,GREEN,No dominant elevated signal,MODERATE
SEM-0001,Micron Technology Inc.,A,A → A,STANDARD,GREEN,No dominant elevated signal,MODERATE
SEM-0008,SiCSem Private Limited,A,A → A,STANDARD,GREEN,No dominant elevated signal,MODERATE
SEM-0007,3D Glass Solutions Inc.,A,A → A,STANDARD,GREEN,No dominant elevated signal,MODERATE
SEM-0010,Advanced System in Package Technologies Private Limited,A,A → A,STANDARD,GREEN,No dominant elevated signal,MODERATE
