candidate_id,company_candidate,project_type_candidate,state_candidates,investment_candidates_crore,capacity_candidates,source_document,source_page,evidence_score,has_investment_signal,has_capacity_signal,has_company_signal,possible_existing_company,discovery_status,verified_company,verified_project_type,verified_state,verified_approval_date,verified_investment_crore,verified_capacity_value,verified_capacity_unit,verified_capacity_category,verified_technology,verified_technology_partner,final_verification_status,matched_text
EXP-CAND-0045,"Semiconductors are the backbone of modern electronics, powering computers, mobile devices,",Compound Semiconductor,,76000.0,,ISM_Approved_Projects_Feb2026.pdf,2,3,True,True,True,False,HIGH_PRIORITY_REVIEW,,,,,,,,,,,PENDING,"Semiconductors are the backbone of modern electronics, powering computers, mobile devices,
telecommunications, automobiles, defence systems and artificial intelligence. India has made steady
progress in consolidating earlier investments into a full-stack value chain of its semiconductor
ecosystem under ISM 1.0, expanding design capabilities and advancing fabrication, assembly and
testing infrastructure across the country. This momentum reflects the broader vision of Aatmanirbhar
Bharat and India’s transition from policy formulation to production readiness. Building on these gains,
ISM 2.0 seeks to consolidate India’s position as a reliable and competitive participant in the global
semiconductor network.
Sectoral Outlook: India’s Semiconductor Ecosystem
India is steadily emerging as a global
semiconductor hub. Large scale
investments, expanding manufacturing
capacity, and platforms such as SEMICON
India 2025 reflect growing global
confidence in India’s semiconductor
journey. The domestic chip market is
witnessing rapid growth. As per industry
estimates, the size of the Indian
semiconductor market was about $38 Bn in
2023, $45-$50 billion in 2024-2025 and is
expected to reach $100-$110 Bn by 2030.
This expansion is anchored in the national
vision of Make in India and Make for the
World, positioning India as both a
manufacturing base and a global supplier.
The foundation of this growth was laid with
the approval of India Semiconductor Mission 1.0 by the Union Cabinet in December 2021. The
Mission is supported by an incentive framework of ₹76,000 crore, offering fiscal support of up to 50
per cent for silicon fabs, compound semiconductor facilities, assembly and testing units, and chip
design. As of December 2025, 10 projects with a total investment of ₹1.60 lakh crore have been
approved across 6 states. These include silicon fabrication units, silicon carbide fabs, advanced and
memory packaging facilities, and specialised assembly and testing infrastructure. Together, they are
shaping a resilient domestic semiconductor ecosystem.
By 2029, India is expected to achieve the capability to design and manufacture chips required for
nearly 70–75 per cent of domestic applications. Advancing on this foundation, the next phase
under Semicon 2.0 will focus on advanced manufacturing, with a clearly defined roadmap to achieve 3-
nanometre and 2-nanometre technology nodes. By 2035, India aims to be among the top
semiconductor nations globally."
EXP-CAND-0049,"Since its launch in December 2021, the Design Linked Incentive Scheme has played a pivotal role in",,,2.25; 430.0,,ISM_Approved_Projects_Feb2026.pdf,6,3,True,True,True,False,HIGH_PRIORITY_REVIEW,,,,,,,,,,,PENDING,"In response, major economies are recalibrating their strategies. The United States, the European Union,
Japan and South Korea have launched national initiatives to strengthen domestic chip manufacturing
and diversify supply chains. India is positioning itself within this global shift as a trusted and reliable
partner. The India Semiconductor Mission responds directly to this moment. By building domestic
capacity across design, manufacturing and innovation, ISM represents a critical step towards self-
sufficiency and technological sovereignty, while strengthening India’s role in a more resilient global
semiconductor ecosystem.
At the core of this strategy lies a strong focus on semiconductor design and talent development, which
together form the foundation of technological self-reliance.
Strengthening India’s Semiconductor Design Ecosystem
Since its launch in December 2021, the Design Linked Incentive Scheme has played a pivotal role in
transitioning from capacity creation to technological depth in India. The scheme focuses on nurturing
domestic innovation, supporting early-stage companies, and creating the foundation for a vibrant fabless
ecosystem. It has also helped bridge the gap between academic research and industry application,
strengthening India’s position in the global design landscape.
Key Achievements under the DLI Scheme (as of January 2026):
• The programme currently supports 24 semiconductor design startups across the country.
• Startups under the scheme have attracted nearly ₹430 crore in venture capital funding,
reflecting growing investor confidence in India’s design ecosystem.
• Advanced Electronic Design Automation (EDA), the national chip design platform, has
enabled access to high end design tools, with approximately 2.25 crore tool hours recorded.
• Around 67,000 students and over 1,000 start up engineers are actively using these tools for chip
design and development.
• In academia, 122 designs have been taped out, with 56 chips fabricated at 180 nm at the
Semiconductor Laboratory in Mohali.
• Startups have completed 16 tape outs, resulting in six chips fabricated at advanced foundry
nodes, including technologies as advanced as 12 nm.
• Academic institutions have filed 75 patents, while startups have filed 10 patents, indicating a
growing culture of innovation and intellectual property creation.
Looking ahead, the programme is set to scale further, with a target of enabling at least 50 fabless
semiconductor companies in the next phase, reinforcing India’s ambition to emerge as a global hub for
semiconductor design and innovation."
EXP-CAND-0051,Lab at NIELIT Calicut supports large scale training in semiconductor technologies,ATMP,,,,ISM_Approved_Projects_Feb2026.pdf,8,3,True,True,True,False,HIGH_PRIORITY_REVIEW,,,,,,,,,,,PENDING,"Engineering covering VLSI design and technology. Together, these programmes aim to produce
graduates equipped with industry relevant skills.
• SMART Lab at NIELIT Calicut: The Skilled Manpower Advanced Research and Training
Lab at NIELIT Calicut supports large scale training in semiconductor technologies. The
initiative targets one lakh engineers across the country, with more than 62,000 engineers already
trained, significantly strengthening the national talent pool.
• Industry Partnership with Lam Research: A large-scale training programme in
nanofabrication and process engineering is being implemented in partnership with Lam
Research. The focus is on building specialised skills for (ATMP) and advanced packaging
facilities. The programme aims to generate 60,000 trained professionals over the next ten years.
• FutureSkills PRIME Programme: FutureSkills PRIME is a joint initiative of MeitY and
NASSCOM designed to position India as a global digital talent hub. It focuses on skilling,
reskilling and upskilling in emerging technologies, including semiconductors. Courses are
developed with industry inputs and delivered through an online portal that enables learners to
access training anytime and earn recognised skill certificates aligned with their aspirations.
Together, these initiatives are creating a robust and future ready semiconductor workforce, positioning
India to sustain long term growth across the full chip value chain.
Conclusion
India Semiconductor Mission 2.0 marks a decisive shift from ecosystem creation to ecosystem
consolidation and global integration. By deepening support for manufacturing, design, and advanced
skills, ISM 2.0 positions semiconductors as a strategic national capability—central to economic
resilience, digital infrastructure, and technological sovereignty. The enhanced budgetary support in
2026–27 provides the momentum required to accelerate execution, crowd in private investment, and
scale domestic capacity across the full semiconductor value chain.
Looking ahead, ISM 2.0 lays the foundation for India to emerge as a trusted hub for semiconductor
design, manufacturing, and innovation. With a clear roadmap for advanced nodes, strong design
incentives, and a growing talent pipeline, India is poised to progressively reduce external dependencies
while contributing to more resilient global supply chains. The Mission thus anchors India’s long-term
ambition to be among the world’s leading semiconductor nations in the coming decade.
References:
PIB Backgrounders:
• https://www.pib.gov.in/PressNoteDetails.aspx?NoteId=154968&ModuleId=3&reg=3&lang=2#_ftn3
• https://www.pib.gov.in/PressNoteDetails.aspx?NoteId=155130&ModuleId=3&reg=3&lang=2
• https://www.pib.gov.in/PressNoteDetails.aspx?NoteId=156811&ModuleId=3&reg=3&lang=1
• https://www.pib.gov.in/PressNoteDetails.aspx?id=156505&NoteId=156505&ModuleId=3&reg=3&lang=2"
EXP-CAND-0024,"(SIP), Production Linked Incentive (PLI) scheme for Large Scale Electronics Manufacturing, PLI Scheme 2",Semiconductor Manufacturing,Delhi,,,MeitY_Annual_Report_2024_25.pdf,12,3,True,True,True,False,HIGH_PRIORITY_REVIEW,,,,,,,,,,,PENDING,"To promote indigenous manufacturing, the government has introduced programmes like the Semicon India Programme
(SIP), Production Linked Incentive (PLI) scheme for Large Scale Electronics Manufacturing, PLI Scheme 2.0 for IT
Hardware, Scheme for Promotion of Manufacturing of Electronic Components and Semiconductors (SPECS), and
Modified Electronics Manufacturing Clusters (EMC 2.0) Scheme. These initiatives aim to transform India into a hub for
electronics production and semiconductor manufacturing. The electronics sector has witnessed remarkable growth,
with domestic production increasing from INR 5.54 lakh crore (~USD 76 billion) in FY 2020-21 to INR 9.52 lakh crore
(~USD 115 billion) in FY 2023-24, reflecting a Compound Annual Growth Rate (CAGR) of 19.78%. Projections indicate
that India’s electronics production will reach USD 300 billion by 2026. Semicon India Programme (SIP) aims to provide
financial support to companies investing in semiconductors, display manufacturing and design ecosystem. Under SIP,
five projects of private sector players has been approved for setting up facilities to develop indigenous semiconductor
technologies.
India has established itself as a global IT services hub and has emerged as the World’s 3rd largest start-up ecosystem
with more than 1,50,000 startups operating in the country and 115 unicorns with a total valuation of more than $ 350
Bn. The Indian IT/ ITeS industry has a leading position globally and has been progressively contributing to the growth
of exports and the creation of employment opportunities. India’s IT-BPM industry is expected to grew by ~3.7 % to
reach at USD 254 Billion, including exports of 199.5 USD Billion in FY2023-24 (E). India has positioned itself as a
major hub for Global Capability Centres (GCCs), providing offshore facilities to multinational corporations (MNCs) for
managing business operations. These centres are among the fast-growing segments of India’s digital economy. To
further accelerate its expansion, MeitY is developing a new policy framework that will provide fresh incentives for these
centres. Several Centres of Excellence (CoEs) have been set up to promote startups, incubation, and innovation in
these areas. Furthermore, initiatives like the Future Skills Programme are also enabling Indian IT professionals to attain
world-class skills in these technologies.
India has emerged as a key player in artificial intelligence and emerging technologies. On 7th March 2024, the
Government of India has approved the IndiaAI Mission, a comprehensive national-level programme to democratize and
catalyze the AI innovation ecosystem in the country and ensure the global competitiveness of India’s AI startups and
researchers. The Government of India hosted the ‘Global IndiaAI Summit’ on July 3-4, 2024, in New Delhi. The summit
focused on advancing AI development in areas like Compute Capacity, Foundational Models, Datasets, Application
Development, Future Skills, Startup Financing, and Safe AI,"
EXP-CAND-0029,incentives as well as design infrastructure • The India Semiconductor Mission acts as,ATMP,,15.0; 30.0; 22516.0,,MeitY_Annual_Report_2024_25.pdf,78,3,True,True,True,False,HIGH_PRIORITY_REVIEW,,,,,,,,,,,PENDING,"Make in India
incentives as well as design infrastructure • The India Semiconductor Mission acts as
support across various stages of develop- the nodal agency for efficient and smooth
ment and deployment of semiconductor de- implementation of the schemes for setting
sign for Integrated Circuits (ICs), Chipsets, up of Semiconductor, Display Fabs and
System on Chips (SoCs), Systems & IP Compound Semiconductors/ATMP/OSAT
Cores and semiconductor linked design. facilities in India.
• Under the “Product Design Linked Incen- 8.6 Semi-Conductor Laboratory (SCL)
tive” component of the scheme, reimburse-
The Union Cabinet has also approved that
ment of up to 50% of the eligible expenditure
Ministry of Electronics and Information Technology
subject to a ceiling of Rs15 crore per appli-
will take requisite steps for modernization and
cation will be provided as fiscal support to
commercialization of Semi-conductor Laboratory
the approved applicants. This shall include
(SCL), Mohali. Semi-conductor Laboratory (SCL),
expenditure relating to design, development,
Mohali has been brought under the administrative
testing, fabrication, validation, prototype de-
control of Ministry of Electronics and Information
velopment, product development, filing of
Technology from Department of Space.
Intellectual Property Rights etc. It will also
SCL is an Integrated Device Manufacturer
include manpower costs.
which undertakes activities pertaining to design,
• Under the “Deployment Linked Incentive”
development, fabrication, assembly & packaging,
component of the scheme, incentive of 6%
testing and quality assurance of Silicon CMOS and
to 4% of net sales turnover over 5 years sub-
MEMS Devices for various applications. Presently,
ject to a ceiling of ` 30 crore per application
SCL has two wafer fabrication lines, i.e., 200 mm
will be provided to the approved applicants
wafer line operating in 180nm CMOS technology
whose semiconductor design for Integrated
and 150 mm wafer line for MEMS technology. SCL
Circuits (ICs), Chipsets, System on Chips
predominantly caters to low volume requirements
(SoCs), Systems & IP Cores and semicon-
for various applications.
ductor linked design are deployed in elec-
Boston Consulting Group (BCG) has been
tronic products.
engaged for providing consultancy services for
• C-DAC is the Nodal Agency to implement
Modernization of Semi-Conductor Laboratory,
the scheme and establish the semiconduc-
Mohali.
tor design infrastructure such as EDA Tool
8.7 Projects approved under the Programme:
Grid, repository of IP Cores, hardware and
software licenses, patents and trademarks The Government has approved following projects:
etc.
i. Micron Technology Inc.’s proposal for set-
8.5 India Semiconductor Mission (ISM)
ting up an ATMP facility in India with an in-
• India Semiconductor Mission (ISM) imple- vestment of ` 22,516 crore was approved
ments the schemes for Semiconductor and in June 2023. Micron’s facility in India will
Display Fabs, Compound Semiconducto"
EXP-CAND-0030,"Calligo Technologies, Sensesemi Technolo-",OSAT,Gujarat,3307.0; 7584.0; 27120.0,15.07Million Units; 6.33 Million chips,MeitY_Annual_Report_2024_25.pdf,79,3,True,True,True,False,HIGH_PRIORITY_REVIEW,,,,,,,,,,,PENDING,"Make in India
facility in India with an investment of ` 91,526 by ChipIN Centre at C-DAC Bengaluru. Out
crore was approved in February 2024. The of these, 17 companies have also been ap-
fab facility will be set up in technology part- proved for financial support for developing
nership with PSMC, Taiwan. PSMC is an semiconductor chip/ SoCs for applications in
established semiconductor company hav- sectors such as automotive, mobility, com-
ing 6 semiconductor foundries in Taiwan. puting, communications etc namely - DV2JS
The production capacity of the project would Innovation LLP , Vervesemi Microelectron-
be around 50,000 wafer starts per month ics, Fermionic Design, Morphing Machines,
(WSPM). Calligo Technologies, Sensesemi Technolo-
gies, Saankhya Labs, Aryabhata Circuits and
iii. Tata Electronics Private Limited (TEPL)’s
Research Labs, BigEndian Semiconductors,
proposal for setting up of OSAT facility in
C2i Semiconductors, Aheesa Digital Innova-
India with an investment of ` 27,120 crores
tions, Mindgrove Technologies, InCore Sem-
was approved in February 2024. The facility
iconductors, Netrasemi, Green PMU Semi,
will use indigenous semiconductor packag-
WiSig Networks, MosChip Technologies.
ing technologies with a production capacity
of 48 million per day. 8.8 Employment: The semiconductor manufacturing
facilities will generate direct employment of about
iv. CG Power and Industrial Solutions Limited’s
25 thousand advanced technology jobs and about
proposal for setting up OSAT facility in India
60 thousand indirect jobs.
with an investment of ` 7,584 crore was also
approved in February 2024. The facility will 3.4 Investment Promotion to Attract Investment in
be set up as joint venture partnership with ESDM Sector
Renesas Electronics America Inc., USA,
and STARS Microelectronic, Thailand. The 3.4.1 Promotion of PLI, SPECS, EMC 2.0 and
technology would be provided for this facil- Schemes for Development of Semiconductors and
ity by Renesas Electronics Corporation, Ja- Display Manufacturing Ecosystem in India
pan and STARS Microelectronic, Thailand.
To stimulate more investment in the Electronics
The production capacity would be around
System Design and Manufacturing (ESDM) sector in
15.07Million Units per day.
India, several investment promotion initiatives have
v. Kaynes Technology India Limited (KTIL) been launched. In addition, these initiatives are aimed
proposal of for setting up of Outsourced at creating a world-class semiconductor and display
Semiconductor Assembly and Test (OSAT) manufacturing ecosystem, these efforts also include the
facility at Sanand, Gujarat for Wire bond In- introduction of significant schemes like the PLI Scheme
terconnect, Substrate Based Packages was 2.0 for IT Hardware. Further, thorough outreach plan that
approved in September, 2024. The Technol- includes online meetings with possible investors and in-
ogy would be provided by ISO Technology depth presentations outlining the advantages of these
Sdn. Bhd. and "
EXP-CAND-0032,through the official handle (Electronics Gol) of the IPHW,Packaging,,,,MeitY_Annual_Report_2024_25.pdf,83,3,True,True,True,False,HIGH_PRIORITY_REVIEW,,,,,,,,,,,PENDING,"Make in India
• Encourage collaboration between Singapore-
based and India-based companies towards
mutually beneficial semiconductor related business
opportunities and partnerships;
• Consider initiatives to enhance semiconductor
supply chain resilience, based on areas of
mutual strength such as fabs, packaging, design,
equipment, specialty chemicals and gases,
semiconductor grade materials;
• Promote Industrial Parks and workforce
development for mutual benefit.
3.4.5 International Events & Facilitations
Building on the Semiconductor MoU, the first India-
• Outreach engagements held with Indian Singapore Semiconductor Ecosystem Policy Dialogue,
Consulates/ Embassies/ High Commissions co-chaired by Secretary, MeitY, Shri S Krishnan &
in other countries for promoting the schemes Permanent Secretary, MTI, was held in November,2024.
launched by MeitY.
• MeitY participated in various Investment Promotion
Roadshows organized by other Ministries like
DPIIT to Taiwan, Korea, Japan, Singapore etc.
• MeitY also contributed to international engagements
like G20, India-EU TTC, India-Taiwan Cooperation
Forum, World Economic Forum, Industrial
Collaboration Working Group (ICWG) between
India and Taiwan (ICWG), India-Japan Industrial
Competitiveness Partnership (IJICP)
3.4.6 Social Media Participation
To reach out to all ESDM stakeholders, all the events,
webinars were widely promoted on X (erstwhile Twitter)
through the official handle (Electronics Gol) of the IPHW
Division of MeitY.
3.4.6.1 International Collaborations in the field of
Semiconductors
MoU with Singapore: Government of India has recently
signed an MoU with Singapore to establish an “India-
Singapore Semiconductor Ecosystem Policy Dialogue”.
The Policy Dialogue will be used as a platform to:
• Discuss semiconductor supply chain related
issues;
• Exchange best practices to leverage opportunities 3.4.6.2 Capacity building and talent development for
for growth in the global semiconductor industry; semiconductors
• Explore areas for mutually beneficial semiconductor
New curriculums have been launched by AICTE at UG,
R&D collaboration;
Diploma level as a step towards creation of Talent pool
Annual
Ministry of Electronics & Information Technology REPORT 81
2024-2025"
EXP-CAND-0034,Technologies to enable cost effective electronic,Semiconductor Fab,,34.65; 41.6; 83.89,,MeitY_Annual_Report_2024_25.pdf,86,3,True,True,True,False,HIGH_PRIORITY_REVIEW,,,,,,,,,,,PENDING,"Make in India
Under Phase-II, 5 industrial projects have been initiated 3.7.3 Next Generation AMOLED Displays, OLED
and 2 prototypes viz; sustainable sensing platform for Lighting and OPV Products
electrochemical sensors using sugarcane skin having
The project “Next Generation AMOLED Displays, OLED
varied applications from biosensing to heavy metal
Lighting and OPV products: Development of disruptive
detection and Li ion-based technology (coin cell) having
Technologies to enable cost effective electronic
capacity of > 30 mAH developed and under field trial. 2
component manufacturing in India”, approved by MeitY
Technologies have been transferred to the industry.
and being implemented by IIT Madras with total budget
Product / outlay of INR 41.60 Crore, including MeitY’s Grant-
Industry Sector Status
in-Aid amounting to INR 34.65 Crore. The objective of
technology
the centre is to demonstrate state- of-the-art AMOLED
Sensa Core Technology
Health- based displays developed by Fine Metal Mask (FMM)
Bilirubin Sen- Medical care Licensed to and Closed Space Sublimation (CSS) processes.
sor Instrumenta- M/s Sensa OPV devices are also being developed for roll-to-
tion Pvt. Ltd. Core roll manufacturing. A laboratory has been developed
successfully for state-of-the-art research facility. A clean
LFIA based Technology
Prompt
area has been set up of area around 3000 sq. ft. There
strips for de- Food Licensed to
Equipment are two parts in the clean area. One is of class 100 and
tection of bo- Safety M/s PROMPT
the rest of the area is of class 1000. The class 100 area
Pvt. Ltd.
vine mastitis Equipment’s
is used for substrate cleaning, which is very crucial for
the fabrication. Class 1000 area has all the deposition
3.7.2 National Centre of Excellence in Technology
units and is utilized for AMOLED device fabrication.
for Internal Security (NCETIS)
National Centre of Excellence in Technology for Internal
Security (NCETIS) at IIT-Bombay has been approved
on 28th May, 2015 with a total outlay of ` 83.89 crore
(MeitY contribution: ` 83.89 crore). The aim of the CoE
is to address the challenges of homeland security and
to develop state-of-the-art technologies which are vital
for the national security agencies for providing rescue
and relief operations with the indigenously developed
technologies/ products. The project is envisaged
to set up the required infrastructures and carrying
out R&D activities for developing prototype model,
commercialization and technology transfer of multiple
products. The project has been completed in March
2023. Under the project, various technologies have been
developed and three of them have commercialized.
Explosive detector developed under the project has been
registered and made available at GEM portal after the
successful certification and trials. Two Start-ups have
been incubated under the CoE. AMOLED Dock system control
Annual
84 REPORT Ministry of Electronics & Information Technology
2024-2025"
EXP-CAND-0036,included DPI and the achievements of the G20 in Lanka on digital transformation took place on,,Delhi,,,MeitY_Annual_Report_2024_25.pdf,92,3,True,True,True,False,HIGH_PRIORITY_REVIEW,,,,,,,,,,,PENDING,"International Cooperation
February 2024. The focus areas of the meeting 8. Bilateral meetings with the Government of Sri
included DPI and the achievements of the G20 in Lanka on digital transformation took place on
promoting DPIs, AI, India’s presidency of the GPAI, March 27, 2024, in Colombo, Sri Lanka. MeitY
and the Digital Personal Data Protection Act. participated and shared insights and experiences
from India’s success story with DPI, along with
3. A meeting between the co-chairs of the Indo-French
global and regional perspectives.
Joint Working Group for Digital Technology was
held virtually on March 22, 2024. The focus areas 9. A meeting between India and Vietnam was held
of discussion included cooperation in emerging on May 15, 2024, at New Delhi. The discussions
technologies, specifically Artificial Intelligence, focused on cooperation in data center development
Quantum Computing, semiconductors, startup in Vietnam, as well as collaboration in cybersecurity,
innovation, and DPI. artificial intelligence, emerging technologies, and
the startup ecosystem.
4. The Hon’ble MEIT visited Doha, Qatar, on 27
February 2024, where he addressed a session on 10. Several meetings were held between India and
‘Digital Public Infrastructure’ during Web Summit Japan to discuss UPI deployment in Japan. India
Qatar 2024. During the visit, the Hon’ble MEIT also provided a presentation on the infrastructure,
engaged in bilateral meetings with the Chairman operational aspects, and use cases to apprise the
of the Qatar Investment Authority, the Minister of Japanese side about the concept of UPI. Further,
Transport, and the Minister of Communications India and Japan also discussed collaboration
and IT, met with about 100 business leaders from focused on the semiconductor ecosystem, artificial
India and Qatar, and participated in a community intelligence, and the India-Japan Digital Partnership
engagement event. (IJDP).
5. A team of journalists from the Central Europe 11. The Embassy of India organized a seminar titled
region met Secretary, MeitY, on March 15, 2024. “Building Digital Bridges: India-Japan Digital
The Secretary informed the delegation about the Partnership” on September 30, 2024, in which MeitY
establishment of three semiconductor units under virtually participated and delivered a presentation
the ‘Development of Semiconductors and Display on India’s digital transformation journey and
Manufacturing Ecosystems in India’ initiative, as potential areas of cooperation between India and
well as developments in Digital Public Infrastructure Japan in the digital sector.
(DPI).
12. Secretary, MeitY participated in the Session on
6. The Joint Secretary (ICD), MeitY, virtually “Investment: Economic Prospects in India” during
participated in the 3rd Summit for Democracy in the 3rd India- Japan Forum on December 06, 2024
Seoul, Republic of Korea, on March 18, 2024. He in New Delhi.
briefed participants about the Digital India initiative,
13. A meeting between I"
EXP-CAND-0037,"included skill development, joint R&D in advanced and Investment Committee under the Strategic",Compound Semiconductor,Delhi,,,MeitY_Annual_Report_2024_25.pdf,93,3,True,True,True,False,HIGH_PRIORITY_REVIEW,,,,,,,,,,,PENDING,"International Cooperation
15. Under the framework of the MoU on Semiconductor, 17. A virtual meeting of the Technology and IT Joint
the 1st India-Singapore Semiconductor Policy Working Group, co-chaired by India and Saudi
Dialogue was held on November 5, 2024 in New Arabia under the Economy and Investment Pillar
Delhi. Discussions emphasized India’s initiative of the Strategic Partnership Council, was held
and Singapore’s expertise in supply chains, on October 14, 2024. MeitY also participated in
R&D, and workforce development. Key priorities the 5th Senior Officials Meeting of the Economy
included skill development, joint R&D in advanced and Investment Committee under the Strategic
packaging, compound semiconductors, and trade Partnership Council, held on October 17, 2024, at
optimization. NITI Aayog.
18. MeitY virtually participated in a panel discussion
on “Deep Dive Digital Dialogues: Results,
Opportunities, and Prospects for International
Cooperation in Digital Policy” during the 17th
Federal Government Digital Summit, Germany, on
October 22, 2024. The panel discussion focused
on AI, DPI, digital literacy, and cybersecurity.
19. On November 7, 2024, the 8th session of the Indo-
Russia Joint Working Group on ICT Cooperation,
co-chaired by the Secretary, MeitY, and Russia’s
Deputy Minister of Digital Development, was held.
Discussions during the meeting covered IT/ITeS,
ESDM, telecom, cybersecurity, digital governance,
and digital education.
16. The India-US Information and Communications
4.4.2 International Projects
Technology Working Group (ICTWG) Meeting was
held at Sushma Swaraj Bhawan on October 17, To showcase India’s prowess in the electronics and IT
2024. The meeting, in which the Secretary, MeitY, sector and emerging technologies, MeitY has initiated
and the US Ambassador to India participated, saw joint projects with various countries. Also, MeitY has been
fruitful discussions on varied topics, including IT/ assisting the Ministry of External Affairs in executing a
IT-enabled services, digital talent, cross-border number of projects in developing and least-developed
data flows, data privacy, collaboration in AI, countries. Under such initiatives, number of Centers of
semiconductor and electronics manufacturing, and Excellence in IT, IT Parks, Capacity Building Institutes,
telecommunications. telemedicine & tele-education facilities, e-networks
have been established. The following projects are under
execution and initiated during the year:
1. High-performance Computing: India and
EU launched a joint call for proposal on HPC
applications under the signed Intent of Cooperation
(IoC) on High Performance Computing (HPC),
Weather Extremes & Climate Modeling and
Quantum Technologies.
2. India-Argentina Centre of Excellence in
Information Technology (IA-CEIT) set up by
C-DAC Delhi with financial assistance from the
Annual
Ministry of Electronics & Information Technology REPORT 91
2024-2025"
